category_id,category,articles
2,politics,m warren fund raise haul last  month year represent slight dip  ended quarter high note
4,business,best story  miss
5,sports,first round  home team favor  red hot tennessee pull upset new england
5,sports,display flag become essential league push patriotism come  controversy
1,world,fire rage australia upcoming weekend likely dangerous yet toll far include  death   home destroyed thousand animal kill
1,world,goal prove american resolve face iranian attack american official doubt iranian respond know quickly furiously
3,arts,actor fashion designer vintner talk role sequel season young pope role inspire malkovich
3,arts,korngold die tote stadt hit  disappear regain popularity  century
3,arts,kentucky music lifeblood apprentice program run luthier provide meaningful job help remove stigma opioid addiction
0,opinion,revenge strategy
1,world,europe fear falter effort preserve  pact deal fatal blow unite state kill top iranian commander
3,arts,jeroboam bozeman alvin ailey american dance theater dance part jamar roberts ode effect gun violence
2,politics,foreign affair play strictly limited role far democratic primary kill maj gen qassim suleimani  reshape contest
1,world,oil price surge stock market fell president trump order kill maj gen qassim suleimani baghdad
1,world,president trump authorize attack early friday  international airport kill iran top security intelligence commander maj gen qassim suleimani
3,arts,wide range career design car restaurant notably otherworldly look science fiction movie
3,arts,suave baritone cast type berg harrow work metropolitan opera win raf
3,arts,mr oliver album cover  label fitting complement music influential alternative band  pixy breeder
1,world,israeli intelligence long track iranian commander  shadow loom ever large closer
1,world,kill powerful general baghdad  drastic consequence  world
1,world,judge say ethical vegan entitle similar protection workplace hold religious belief
4,business,lawsuit claim company target minority woman child  aware risk asbestos talc
2,politics,lawmaker sharply divide along party line president trump decision kill iran top security commander press detail strike strategy aftermath
1,world, stepped patrol   people successfully cross small vessel fewer  year
4,business,federal reserve cut interest rate  time  election year dawn minute december meeting show renew sense patience
1,world,venezuela government opposes rev nelson sandoval neglect indigenous village see know many lifeline
4,business,manufacturing activity fell low level decade sign fallout president trump trade war
0,opinion,important figure islamic republic lose influence region
1,world,abu mahdi al muhandis lifelong ally iran iraqi deputy commander group oversee militia long odds united state
1,world, writer detail  memorable profile decade reporting
1,world,force retaliate iran likely aim limit counterattack damage united state lead war miscalculation  mean thing spiral control
5,sports,praise hard drive coach willing go grain also fin keep female reporter team locker room
2,politics,first day new legislative session senate leader indicate make progress resolve logjam proceed
5,sports,dallas   record   season garrett make playoff  time sunday owner jerry jones confirm team coach part way
0,opinion,de moines reader note field winnow still stand also well pay household help deal hearing loss
0,opinion,reader worry president trump action take distract domestic woe  clear path forward
2,politics,mr roe join exodus republican lawmaker opt election  tough campaign cycle
3,arts,play lead jazz musician banter merv griffin best know work  child cartoon series
3,arts,reimagined wagner modern world include ring focused ecological destruction
2,politics,single poll week  help democratic presidential candidate qualify next debate party blame poll organization
4,business,fugitive japan put lebanon awkward position
5,sports,n b season go expected call question think knew include milwaukee status final contender
1,world,kill general suleimani intend shot iran  accelerate iranian objective push united state military iraq
2,politics,leader department homeland security meet hash threat iran  concern department become focused immigration terrorism
2,politics,department housing urban development hop low housing cost propose new rule reverse  era effort desegregate housing
2,politics,contends release document seek time  inhibit frank candid exchange view government decision making
0,opinion,united state  establish balance hope fear middle east
0,opinion,assassination qassim suleimani  iran top military commander rock middle east president trump ready
2,politics,president trump grip anxiety evangelical voter abandon take wide swipe democratic rival  day strike top iranian leader
1,world,official   state brace fear  worst day yet australia disastrous fire season
2,politics,vice president  penny claim maj gen qassim suleimani iran assist   terrorist carry september  terrorist attack
0,opinion,suleimani push country build empire drove ground instead
1,world,secretary state mike pompeo say iraqis celebrate death maj gen qassim suleimani witness say whole story
3,arts,ari aster sophomore horror film available stream new mini series creator sherlock hit netflix
4,business,american also continue buy ever big car price escalate faster overall inflation rate
1,world,large factory country economically depress south teeter close victim decline industry haphazard regulation volatile politics
2,politics,take step back politics holiday catch important moment  presidential race last week
4,business,chain make salad chic modular ecologically conscious want sell lot stuff
1,world,ten thousand mourn kill major iraqi official top iranian general u drone strike middle east braced iran response
1,world,month protest electoral defeat pro beijing political party official record difficult assignment way
1,world,month still go fire season government announce large scale use military asset deployment see  world war ii
0,opinion,properly function national security council  never let happen good reason
2,politics,representative jar golden conservative district maine house member vote   impeachment article president trump
3,arts,mr stewart punch security guard refuse allow event eldest son sean shove guard police report say
1,world,century talmud study domain men woman increasingly embrace
1,world,u official justify assassination retribution general action deterrence future american death big strategic implication get lose 
2,politics,dennis prager believe teenager open conservative idea millennials prageru make play get  professor
1,world,kill maj gen qassim suleimani late example capricious way president commander chief choose flex lethal power
1,world,people take street baghdad tehran bemoan kill top iranian general u drone strike iraq iranian leader swear revenge president trump defend action
1,world,death qassim suleimani strengthen hand hard liner expert say undermined tried normalize relation west
1,world,american assassination top iranian commander  make impossible american force stay iraq  ease isi comeback
5,sports,pelican guard draft lakers play best basketball  month trade
0,opinion, thing clear kill iran second important official american safer
1,world,nationwide demonstration enter fourth week india muslim long fragment group organize formidable force contentious citizenship law
2,politics,notification require   hour introduce united state arm force hostility contain classified information senior congressional aide say
0,opinion,senate impeachment trial sham  top administration official testify
1,world,least  kill  wounded attack tripoli capital
5,sports,irving net point guard play  november right shoulder injury saturday say take step avoid surgery
2,politics,senior official argue drone strike warrant prevent future attack administration remain skeptical rationale attack
4,business,federal reserve rate still really low mr bernanke believe unconventional policy make caveat
3,arts,sequel last year series cover charge singer r kelly threat woman speak new detail life relationship
5,sports,wild card defeat stifle new england pursuit record break seventh super bowl title also spell end belichick brady era
0,opinion,republican senator people power restrain president
5,sports,deride goody goody seattle seahawks quarterback perfect team win season keep exorcise super bowl ghost
1,world,country vent frustration prime minister scott morrison many view nonchalant response disastrous blaze unwavering dismissal climate change
3,arts,lead oscar race officially begin j r r tolkien biopic air hbo
1,world,service member  contractor become first american military related death africa  
4,business,official break silence say  tighten immigration procedure investigate fall auto executive able elude tight surveillance
1,world,canada government pressure inuit woman travel south give birth baby hometown maternity clinic lead inuit midwife
1,world,victim use shuttle service set prevent drunken drive prosecutor say hit man blood alcohol level far limit
1,world,consequence america target kill senior iranian commander mount
3,arts,lloyd barnes run wackie record studio label  late  prepares next chapter want ensure spirit life
5,sports,throw interception final attempt playoff loss tennessee titan tom brady offer little insight  career new england
2,politics,american force iraq syria focus protect
0,opinion,qassim suleimani death bring vindication many american life take year come next
1,world,body maj gen qassim suleimani bring back iran mourner flood street weep hold poster general coffin move crowd
1,world,iran say  essentially abandon obligation land mark nuclear deal iraqi parliament vote expel american troop
0,opinion,reader discuss importance involve ordinary citizen rehabilitation effort
0,opinion, tax bill give business windfall cause huge jump deficit americans pay reader say also voter  november assess past decade
1,world,secretary state mike pompeo add president trump earlier message u  attack iran take hostile action american interest strike maj gen qassim suleimani
2,politics,foreign policy emerge top priority democratic primary pete buttigieg former naval intelligence officer lean hard veteran status
4,business,company regulator look everything wire plane engine
2,politics,democrat avoid use ad attack target voter intent defeat president trump
1,world,national assembly last political institution still opposition hand seize leadership president  maduro supporter move close total control state
1,world,american partner region celebrate demise powerful iranian adversary believe wise discreetly
4,business,company spend   mobile ad last year even make commercial acknowledge downside smartphones
1,world,last political institution opposition hand president nicolás maduro move close total control state
0,opinion,administration sacrifice crucial relationship iraq altar dangerous policy iran
4,business,civil right group try stop state local branch accept money utility promote fossil fuel lobby behalf
1,world,kill revere iranian general really wound insulted national pride  resident say
5,sports,minnesota  yard touchdown drive end new orleans season add fresh wound postseason rivalry
1,world,turkish force  deploy year bolster government tripoli allow return political process
3,arts,hybrid work teach help build los angeles art scene mentoring contemporary artist
2,politics,president trump decision strike top iranian general upend congress priority thrust matter war peace spotlight
0,opinion,want punish europe thousand american business suffer instead
0,opinion,amy klobuchar still chance
1,world,president trump say nuclear deal flaw restriction iran  end  year respond u strike iran declare limit less 
2,politics, year president trump winter visit mar lago private club allow time combine personal presidential business juxtaposition year something quite different
2,politics,president threaten iran potential retaliation death top general iraq potential expulsion united state troop
0,opinion,democratic presidential candidate  able respond situation
3,arts,jojo rabbit director also direct finale disney  mandalorian featuring certain pint size character say anything
5,sports,seattle russell wilson pass  yard touchdown philadelphia struggle start quarterback carson wentz leave game head injury
1,world,military attack cultural site international law united state condemn islamic state taliban similar destruction
2,politics, people hold additional question washington state accord advocacy group account traveler
2,politics,president ally dismiss criticism iran action partisan blowback political adversary timid take strong action foreign enemy
1,world,dozen hurt attacker shout hindu slogan student say belong far right hindu group deny involvement
3,arts,emotional speech comedian say thing make lesbian less scary young see ellen degeneres tv
4,business,harsh rhetoric tehran washington spook investor first p  regained footing day
3,arts,great feel someone tell make day well show comedian say acceptance speech sunday night
3,arts,ricky gervais nihilism number return  podium passion usual bubble
5,sports,titan viking seahawks road weekend include  overtime game exit tom brady drew brees
3,arts, season date show begin reality series family adapt farm life arrive acorn tv
5,sports,organizer contingency plan move match indoor court
4,business,former auto magnate board bullet train first leg escape lebanon official tokyo still investigate
1,world,vast crowd throng street tehran funeral hold maj gen qassim suleimani kill american drone strike friday
0,opinion,lose soul opposite
0,opinion,suicide second lead cause death
0,opinion,italian live happily wonder brexit reshape feeling others e u  british
0,opinion,trump administration  find face dilemma nuclear deal design avoid
0,opinion,inevitable outcome dangerous war terror policy
0,opinion,demand sexual pay play rut producer hold career card  horrific exactly departure
0,opinion,fight new battle owe debt gratitude moral compass nation
2,politics,men seem energized renewed debate war peace  candidate well illustrate division  democrat american leadership abroad look 
1,world,resident lush rural place think blaze  never reach new year eve firestorm sweep prove wrong run tear  resident say
0,opinion,outpouring grief qassim suleimani country first act retaliation
2,politics,state department say typical ambassador serve  year kabul give high stress nature job
4,business,oil price climb stock market slip fallout u kill top iranian general continue
1,world,friend foe alike leave puzzled president trump aim achieve kill top iranian general  next tehran  mollify
2,politics,move come soon mr castro end bid democratic presidential nomination give lift ms warren campaign try reignite excitement
5,sports,indian relay type bareback horse racing practice native american tribe plain state blend heritage danger  family share passion mean everything
2,politics,former national security adviser comply white house directive cooperate inquiry say  testify senate subpoenaed
3,arts,pop music make vacuum copying always bad new trend pull pop star courtrooms dangerous 
5,sports,longtime green bay packer coach interview number n f l opening include giant
1,world,beijing race identify new illness sicken  people try calm nervous public
5,sports,tagovailoa start  season top candidate heisman trophy injured november  play crimson  next season
3,arts,mesmerize frustrating world félix vallotton metropolitan museum
1,world,reynhard sinaga find guilty drug rap  men manchester detective far fail identify  victim still look speak
3,arts,tweak billboard  chart design curtail effect record sale tie merchandise
1,world, grow sense stability optimism decade chaos violence somalia unable curb threat pose terrorist group al shabab
4,business,new york feed academic researcher find u consumer company bear brunt president trade war
4,business,federal government charge chain illinois nursing home default mortgage backed government program
4,business,shelf mostly empty mitoshi matsumoto plan continue fight company change japan tough convenience store culture
1,world,deadly wildfire fan wind fuel scorching heat rag  southeast country
1,world,britain prime minister risk criticize american president  support need trade negotiation brexit  expose iran open serious trans atlantic rift
2,politics,transformation pete hegseth ivy league educate decorated army platoon leader symbol republican party trump era
1,world,pentagon direct   troop region atop roughly   already tension rise iran reinforcing outpost base airfield
0,opinion,leader several organization say president trump threat destroy iranian site  war crime contrary american policy also marry former partner second time
0,opinion,reader upset president adviser stop take action put american danger
2,politics,democrat want block president trump unilaterally start war iran turn mostly untested law
2,politics,secretary state decision likely end republican hop secure potentially dominant candidate open seat kansas home state
2,politics,go wild year help
0,opinion,bully delusion grandeur
2,politics,image share twitter representative paul gosar arizona photoshopped circulate  year
4,business,furniture chain late retailer struggle decline store visit change consumer taste
1,world,letter say u repositioning force movement iraq produce headline  world withdrawal begin
1,world,america throw  behind juan guaidó claim presidency direct challenge president nicolás  year later trump administration little show effort
3,arts,president trump repeat threat destroy iran treasure art architecture make united state seem debase isi taliban
2,politics,former national security adviser say  willing testify senate impeachment trial
4,business,dallas company employ   try renegotiate debt agreement month talk fell
1,world,government say   people disappear   vast majority   president felipe calderón begin crack drug cartel
0,opinion,unstable impeached president push u  war iran
1,world,departure iran usual tactic hide  proxy country supreme leader want retaliation kill top military commander carry openly iranian force
2,politics,plan homeland security official praise deterrent central american consider long journey mexico expand
2,politics,defense secretary acknowledge law arm conflict prohibit attack antiquity say military plan even  president declare target
2,politics,neoconservative long urge action iran iraq maj gen qassim suleimani dead
1,world,iran seek seek escalation war minister mohammad javad zarif say tweet hour iran launch missile strike american iraq
3,arts,final season schitt creek debut pop tv special jeopardy tournament begin abc
1,world,woman allow return home say pressured retract statement tell police dozen young men attack
5,sports,puerto rico introduce far reach regulation organizer youth sport attempt protect child excessive competition
4,business,year revelation racism sexism profession annual meeting reflect sign progress also work do
3,arts,stephen colbert return holiday break find president trump still mad iranian hostage crisis
4,business,authority say suspect carole ghosn give false testimony april related allegation husband
0,opinion,come visual performing art gulf country future need get line suffer selfie stick fatigue
0,opinion,suleimani assassination kind tactic trump promise voter  strategy match
1,world,french author write year predilection child continue win acclaim  spoken
0,opinion,contempt congress meet legal political fusillade
3,arts,series wrap achieve something  mainstream success creator star perfect time go
0,opinion,iran impeachment iowa make strange bedfellow way politics suppose
2,politics,nearly  month unusually late entry presidential race former massachusetts governor fail draw big headline crucial endorsement still long shot plan
4,business,impossible food  meat want expand chinese market face significant governmental cultural hurdle
0,opinion,attack illustrate america lack clear grand strategy need  immediately
4,business,prosecutor tokyo want arrest carole ghosn say false testimony knowledge husband legal case team
1,world,million animal many find continent  perish australian take care survivor
1,world,iraqi official say iranian strike involve least dozen ballistic missile cause american iraqi casualty president trump issue upbeat appraisal
0,opinion,good international crisis
1,world,socialist leader approval parliament run fragile group leave leaning party  survival  hinge separatist dispute catalonia
4,business,recent commercial real estate transaction new york
2,politics,m warren call repealing provision  law joe biden support senate
1,world,maj gen qassim suleimani body take home burial crush believe kill dozen mourner crowd street kerman iran
1,world,second day row strong earthquake hit puerto rico dawn
3,arts,television love musical show zoey extraordinary playlist katy keene join grow chorus winter easy pull
5,sports,brady  set become free agent team finish season subpar standard dynasty
4,business,age stadium usually demolish dormant meadowlands arena new jersey become soundstage prime time series
0,opinion,difficult iran launch cyberattacks  affect significant portion american population
3,arts,transgender storyteller grammy  win singer honor promote acceptance equality work
5,sports,patriot assistant consider top target quickly emerge giant choice matt rhule presume leading candidate agree deal carolina panther
4,business,company long maintain training need fly plane ground  deadly crash
2,politics,michael r bloomberg presidential campaign secure  second worth advertising game feb  president trump election campaign announce do
4,business,model present hyundai uber consumer electronics show say hold promise aerial ride share  mile hour
3,arts,choreographer mariana valencia go make abstract quiet dance use autobiography engage often comic way audience
2,politics,prosecutor say mr flynn president trump first national security adviser choose reverse course cooperate accept guilt previously argue lenient sentence
4,business,mute initial reaction last week kill iranian general point confidence shipping lane unaffected
0,opinion,reader react op ed article novelist richard flanagan fault country politician  thing
1,world,opposition lawmaker push aside security force gain entry chamber really get tense
2,politics,murder rise  first time  year yet still extremely low compare past era report violent crime creep slightly decline
2,politics,intention commitment call witness admit new evidence foreshadow partisan vote kick divisive proceeding
3,arts,visual style derive corner life never even know style classroom
3,arts,ken jennings james holzhauer tie  match apiece  chance get close title thursday night
0,opinion,reader discuss  former national security adviser  defend president also iranian cultural site war fear  young online hate legal help tenant
0,opinion, help manage privacy
4,business,crack conservative commentariat white house struggle form clear narrative
0,opinion,senate  hear testimony impeachment trial
0,opinion,lack counsel character credibility lead  war
2,politics,president refuse level american people danger united state troop civilian face middle east mr biden say attempt
5,sports, day gap college football playoff semifinal title game exactly design
3,arts,plan run money want take rare step cut benefit already earn
4,business,effort come purveyor wine cookware handbag gather washington argue administration plan
1,world,secretary state mike pompeo struggle manage widen fallout drone strike maj gen qassim suleimani
1,world,fall surt come foreign power intensify involvement conflict escalate battle control country
2,politics,trump campaign digital ad herald death maj gen qassim suleimani top iranian commander direct voter official trump military survey
1,world,allegation kill maj gen qassim suleimani cross line draw  definition term  legal  colloquial  dissonance reveals far executive power expand
1,world,alliance training iraqi soldier battle islamic state say  begin remove troop united state kill iranian general qassim suleimani
0,opinion,climate change political malpractice unite state  learn
2,politics,president also make inaccurate claim tuesday isis fighter record iraq war
3,arts,know daddy create roadside streetside top roof attraction texas elsewhere
2,politics,begin deceptively edit video clip obscure twitter account make headline
2,politics,plan put forward mitch mcconnell  feature open statement side question senator democrat pledge press new witness
0,opinion,newsworthiness responsibility asterisk
1,world,trial take  year zhao li kill millionaire cousin chop body find guilty manslaughter
2,politics,campaign  count run nearly  distinct facebook ad highlight kill  sure political impact ultimately
0,opinion,erratic leadership call attention low priority voter
2,politics,imaad zuberi say federal prosecutor new york delete email backdate check hide source money donate
0,opinion,long kill someone leave racist message office phone barnard student
2,politics,administration official argue general plotting imminent attack democrat say intelligence see vague
2,politics,conflict statement cross signal mixed message leave president top official scramble explain mission goal death maj gen qassim suleimani
1,world,pentagon say iran fire dozen ballistic missile asad erbil base iraq american troop station
1,world,boeing jet go  tehran kill least  people possible version occur  examine include attack ukraine president say
1,world,iran launch missile attack  military base iraq american iraqi force station retaliation kill maj gen qassim suleimani u airstrike american iraqi official say casualty
4,business,beirut fugitive ex nissan chairman make first public comment  flee japan news conference interview new york time
3,arts,gina gibney say see urgent need repertory group  line nederland dans theater ballet bc
4,business,stock rally oil fell become clear iran united state back away confrontation
1,world,president trump iranian leader signal willingness end hostility
0,opinion,country move  nuclear power cost
3,arts,reimagined version family sitcom debut freeform phoebe waller bridge golden globe glory revisit  show netflix
3,arts,president say order attack iranian cultural site trevor noah say make obey international law sound  optional topping chipotle
1,world,aim stem flow migrant africa bring change dictatorship european union spending million project build people force conscription
1,world,china hostility protest hong kong reversed political fortune president  ing wen raise alarm beijing
1,world,afghan official fear escalation iran united state  hurt chance peace taliban critical time
0,opinion,know history nazi methodical mass murder disable people write
0,opinion,go stop try rationalize irrational
0,opinion,hazard reduction complex  believe
0,opinion,important candidate even see help elizabeth warren build momentum
0,opinion,legislation help child service member stall committee
0,opinion,general suleimani  harm civilian
0,opinion,president ally try make democratic plan reform law enforcement potent campaign issue
1,world,come seek emotional lift others sing patriotic tune raise fist say  rite meant show china strength 21st century
1,world,reader share cop wildfire sweep part australia flee beach safety others stay  defend home
1,world,iran say bombing iraq conclude proportionate measure united state official  region say mean do maneuvering
4,business,crash tehran   kill  onboard iranian strike military base iraq move market 
1,world,critic see concerted effort shift blame protect conservative leader divert attention climate change
3,arts,decade dog still unfinished effort chronicle  detail lyndon b johnson master biographer vast paper trail find permanent home
5,sports,barrett robinson  randle little less despair usual
1,world,police respond shoot canadian capital less mile parliament hill
3,arts,new director want reshape lead warsaw art space show conservative work challenge leave wing position
1,world,day iranian missile fell base housing american troop iraq president say american harm iran appear stand
1,world,initial assessment indicate american kill iranian strike president trump  feel pressure punch back
5,sports,week newsletter marc stein look big star giannis antetokounmpo joel embiid luka doncic come world
0,opinion,epic life world class artist jam  minute
0,opinion,epic life world class artist die last week age  jam  minute
0,opinion,war look 
5,sports,igor shesterkin ranger get chance henrik lundqvist longtime goalie perennial fan favorite watch bench
3,arts,developed comedy drama ugly betty star america ferrera abc  
3,arts,partnership idw publishing include graphic novel color book
1,world,initial statement iran ukraine contradictory cause crash remain unclear plane call black box  help iranian official  turn boeing
1,world,crash ukrainian boeing   reverberate  world canada alone lose least  people
1,world,putin erdogan back opposite side country drag conflict present potential solution
2,politics,surround top adviser military official president trump say united state ready embrace peace seek
4,business,regulator disagree tweak rule federal reserve governor offer alternative proposal issue last month
1,world,casualty report quake region trouble nuclear facility
2,politics, voice deference speaker grow number senate democrat say lose patience delay want trial begin
1,world,couple say plan split time britain north  canada see likely landing spot
0,opinion,reader react heighten tension united state iran
2,politics,m warren figure candidate  beto rourke kamala harris kirsten gillibrand already learn hard appeal center leave democratic party
2,politics,cybersecurity expert see malicious activity pro iranian force warn iran capacity real damage american computer system
1,world,britain european union face impossible task draw comprehensive trade deal year time
0,opinion,meet idol become close lizzie enrich work life new way
