date,url,headline,doc_type,material_type,section,keywords
2020-01-01,https://www.nytimes.com/2020/01/01/movies/a-quiet-place-part-ii-trailer.html,‘A Quiet Place Part II’ First Trailer: Why Is It So Noisy?,article,News,,['Movies']
2020-01-01,https://www.nytimes.com/2020/01/01/opinion/north-korea-nuclear-test.html,North Korea Is Not Done Trolling Trump,article,Op-Ed,,"['United States International Relations', 'Defense and Military Forces', 'Embargoes and Sanctions', 'Nuclear Weapons', 'Missiles and Missile Defense Systems', 'ARMS CONTROL AND LIMITATION AND DISARMAMENT', 'Human Rights and Human Rights Violations']"
2020-01-01,https://www.nytimes.com/2020/01/01/world/europe/zoo-fire-krefeld-germany.html,"Flying Lanterns Probably Caused Zoo Fire in Germany, Police Say",article,News,,"['Fires and Firefighters', 'Zoos', 'Monkeys and Apes', 'Accidents and Safety']"
2020-01-01,https://www.nytimes.com/2020/01/01/opinion/letters/women-athletes.html,"Coaching Female Athletes, and Gender Inequality",article,Letter,,"['Athletics and Sports', 'Women and Girls', 'Coaches and Managers', 'Title IX (Gender Discrimination Legislation)']"
2020-01-01,https://www.nytimes.com/2020/01/01/style/self-care/how-to-stop-blushing.html,There Will Be Blood. And It Will Be in Your Face.,article,News,,"['Anxiety and Stress', 'Shyness', 'Mental Health and Disorders', 'Women and Girls', 'your-feed-selfcare', 'your-feed-work']"
2020-01-01,https://www.nytimes.com/2020/01/01/opinion/letters/canners-recyclables.html,Can Collectors: Nuisance or Public Service?,article,Letter,,['Recycling of Waste Materials']
2020-01-01,https://www.nytimes.com/2020/01/01/movies/2020-golden-globes-predictions.html,2020 Golden Globes Predictions: Which Movies Will Win?,article,News,,"['Movies', 'Golden Globes (Awards)']"
2020-01-01,https://www.nytimes.com/2020/01/01/parenting/money-rage-and-love.html,"Money, Rage and Love",article,News,,[]
2020-01-01,https://www.nytimes.com/2020/01/01/opinion/letters/united-states-elections.html,Rethinking How We Choose Candidates,article,Letter,,"['Primaries and Caucuses', 'Voting and Voters', 'United States Politics and Government']"
2020-01-01,https://www.nytimes.com/2020/01/01/business/zero-waste-restaurants.html,A Restaurant With No Leftovers,article,News,,"['Waste Materials and Disposal', 'Recycling of Waste Materials', 'Restaurants', 'Food', 'Sustainable Living']"
2020-01-01,https://www.nytimes.com/2020/01/01/health/breast-cancer-mammogram-artificial-intelligence.html,A.I. Is Learning to Read Mammograms,article,News,,"['Breast Cancer', 'Mammography', 'Artificial Intelligence', 'Cancer', 'your-feed-healthcare']"
2020-01-01,https://www.nytimes.com/2020/01/01/health/tuberculosis-vaccine.html,New Injection Method Makes an Old TB Vaccine Far More Powerful,article,News,,"['Tuberculosis', 'Vaccination and Immunization', 'Monkeys and Apes', 'Lungs', 'Third World and Developing Countries', 'your-feed-healthcare', 'Children and Childhood']"
2020-01-01,https://www.nytimes.com/2020/01/01/nyregion/nyc-biking-deaths.html,More People Are Dying on New York City’s Streets. What Went Wrong?,article,News,,"['Traffic Accidents and Safety', 'Bicycles and Bicycling', 'Drunken and Reckless Driving', 'Deaths (Fatalities)', 'Accidents and Safety', 'Roads and Traffic']"
2020-01-01,https://www.nytimes.com/2020/01/01/us/politics/trump-iran-north-korea.html,Trump Bet He Could Isolate Iran and Charm North Korea. It’s Not That Easy.,article,News Analysis,,"['United States International Relations', 'ARMS CONTROL AND LIMITATION AND DISARMAMENT', 'Diplomatic Service, Embassies and Consulates', 'Nuclear Weapons']"
2020-01-01,https://www.nytimes.com/2020/01/01/arts/music/review-anna-netrebko-met-opera.html,Review: Anna Netrebko Rings in the Year With a Met Gala,article,Review,,['Opera']
2020-01-01,https://www.nytimes.com/2020/01/01/arts/woody-vasulka-dead.html,"Woody Vasulka, Whose Video Art Extended Boundaries, Dies at 82",article,Obituary (Obit),,"['Deaths (Obituaries)', 'Art', 'Video Recordings, Downloads and Streaming']"
2020-01-01,https://www.nytimes.com/2020/01/01/world/asia/fazle-hasan-abed-dead.html,"Fazle Abed, Founder of a Leading Relief Agency, Dies at 83",article,Obituary (Obit),,"['Humanitarian Aid', 'Deaths (Obituaries)', 'Refugees and Displaced Persons']"
2020-01-01,https://www.nytimes.com/2020/01/01/world/europe/earthquake-albania-balkans.html,The Lesson of an Albanian Earthquake: The Balkans Aren’t Ready for the Big One,article,News,,"['Earthquakes', 'Accidents and Safety', 'Buildings (Structures)', 'Engineering and Engineers']"
2020-01-01,https://www.nytimes.com/2020/01/01/books/2020-books.html,20 Books We’re Watching For in 2020,article,News,,"['Books and Literature', 'Writing and Writers']"
2020-01-01,https://www.nytimes.com/2020/01/01/opinion/social-media-2020.html,Only You Can Prevent Dystopia,article,Op-Ed,,"['Computers and the Internet', 'Social Media']"
2020-01-01,https://www.nytimes.com/2020/01/01/opinion/fatherhood-sons.html,Every Moment With My Son Is an Act of Creation,article,Op-Ed,,"['Writing and Writers', 'Children and Childhood', 'Parenting', 'Vietnamese-Americans', 'Creativity', 'Families and Family Life']"
2020-01-01,https://www.nytimes.com/2020/01/01/nyregion/jewish-attacks-monsey-Daf-Yomi.html,"90,000 Jews Gather to Pray and Defy a Wave of Hate",article,News,,"['Jews and Judaism', 'Talmud', 'ANTI-SEMITISM']"
2020-01-01,https://www.nytimes.com/2020/01/01/opinion/iraq-embassy-iran.html,Shock Waves From American Airstrikes in Iraq May Have Just Begun,article,Editorial,,"['Demonstrations, Protests and Riots', 'United States International Relations', 'United States Defense and Military Forces', 'Defense and Military Forces', 'Embargoes and Sanctions']"
2020-01-01,https://www.nytimes.com/2020/01/01/nyregion/antisemitic-attacks-monsey.html,"Victim of Anti-Semitic Rampage Is Unlikely to Awake From Coma, Family Says",article,News,,"['Jews and Judaism', 'ANTI-SEMITISM', 'Murders, Attempted Murders and Homicides', 'Hasidism', 'Discrimination', 'Hate Crimes']"
2020-01-01,https://www.nytimes.com/2020/01/01/briefing/north-korea-iraq-embassy-australia-fires.html,"North Korea, Iraq, Australia fires: Your Thursday Briefing",article,briefing,,[]
2020-01-01,https://www.nytimes.com/2020/01/01/climate/nyt-climate-newsletter-resolutions-fireworks.html,One Thing You Can Do: Make Your New Year’s Resolutions Count,article,News,,['Global Warming']
2020-01-01,https://www.nytimes.com/2020/01/01/sports/basketball/david-stern-dead.html,"David Stern, Transformative N.B.A. Commissioner, Dies at 77",article,Obituary (Obit),,"['Basketball', 'Deaths (Obituaries)', 'NBA Championship']"
2020-01-01,https://www.nytimes.com/2020/01/01/opinion/anti-semitism-new-york.html,It’s an Old and Insidious Hatred. And New Yorkers Can’t Stand for It.,article,Editorial,,"['ANTI-SEMITISM', 'Jews and Judaism', 'Hate Crimes', 'Demonstrations, Protests and Riots']"
2020-01-01,https://www.nytimes.com/2020/01/01/nyregion/ny-legislator-drunk-driving.html,"Don’t Drink and Drive, Republican Leader Said. Then He Was Arrested.",article,News,,"['State Legislatures', 'Drunken and Reckless Driving', 'Tests (Sobriety)', 'New Year']"
2020-01-01,https://www.nytimes.com/2020/01/01/sports/david-stern-death-legacy.html,David Stern Saw Where the Sports World Was Headed Long Before It Got There,article,News,,['Basketball']
2020-01-01,https://www.nytimes.com/2020/01/01/us/politics/pete-buttigieg-mayor-south-bend.html,He’s Not ‘Mayor Pete’ Anymore: Buttigieg’s Successor Is Sworn In,article,News,,"['Presidential Election of 2020', 'Elections, Mayors', 'United States Politics and Government']"
2020-01-01,https://www.nytimes.com/2020/01/01/us/drones-FAA-colorado-nebraska.html,‘It’s Creepy’: Unexplained Drones Are Swarming by Night Over Colorado,article,News,,['Drones (Pilotless Planes)']
2020-01-01,https://www.nytimes.com/2020/01/01/us/politics/pompeo-cancels-ukraine-trip.html,Pompeo Cancels Ukraine Trip Amid Protests at Embassy in Iraq,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States International Relations', 'Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates']"
2020-01-01,https://www.nytimes.com/2020/01/01/us/new-year-shootings.html,"In a Deadly Start to 2020, Gunfire Erupts Across America",article,News,,"['Murders, Attempted Murders and Homicides', 'New Year']"
2020-01-01,https://www.nytimes.com/2020/01/01/smarter-living/5-cheap-ish-things-for-your-home-gym.html,5 Cheap(ish) Things for Your Home Gym,article,News,,[]
2020-01-02,https://www.nytimes.com/2020/01/01/opinion/trump-2020.html,Already Had Plenty of Trump 2020?,article,Op-Ed,,"['Presidential Election of 2020', 'United States Politics and Government']"
2020-01-02,https://www.nytimes.com/2020/01/01/opinion/china-swine-fever.html,Why Did One-Quarter of the World’s Pigs Die in a Year?,article,Op-Ed,,"['Pigs', 'Agriculture and Farming', 'Pork', 'Livestock Diseases', 'Slaughterhouses', 'Politics and Government', 'AFRICAN SWINE FEVER', 'SARS (Severe Acute Respiratory Syndrome)', 'Epidemics']"
2020-01-02,https://www.nytimes.com/2020/01/01/us/scandies-rose-fishing-boat-alaska.html,Coast Guard Suspends Search for 5 Missing After Fishing Boat Sinks Off Alaska,article,News,,"['Rescues', 'Maritime Accidents and Safety', 'Fishing, Commercial']"
2020-01-02,https://www.nytimes.com/2020/01/01/sports/basketball/david-stern-commissioner-timeline.html,"N.B.A. Superstars, Growth and Lockouts: The David Stern Years",article,News,,['Basketball']
2020-01-02,https://www.nytimes.com/2020/01/01/sports/ncaafootball/rose-bowl-oregon.html,"In Rose Bowl Victory Over Wisconsin, Oregon Shows Rebuild Needs Work",article,News,,"['Football (College)', 'Rose Bowl (Football Game)', 'Bowl Games']"
2020-01-02,https://www.nytimes.com/2020/01/01/crosswords/daily-puzzle-2020-01-02.html,Where Darth Vader Gets His Strength,article,News,,['Crossword Puzzles']
2020-01-02,https://www.nytimes.com/2020/01/01/obituaries/don-larsen-dead.html,"Don Larsen, Yankee Who Pitched Only Perfect Game in World Series History, Dies at 90",article,Obituary (Obit),,"['Deaths (Obituaries)', 'Baseball', 'World Series']"
2020-01-02,https://www.nytimes.com/2020/01/01/pageoneplus/corrections-jan-02-2020.html,"No Corrections: Jan. 2, 2020",article,News,,[]
2020-01-02,https://www.nytimes.com/2020/01/01/world/asia/india-cold-pollution.html,"India Cold Wave Breaks Records, Shuts Schools and Makes Bad Air Worse",article,News,,"['Weather', 'Traffic Accidents and Safety', 'Temperature', 'Homeless Persons']"
2020-01-02,https://www.nytimes.com/2020/01/01/todayspaper/quotation-of-the-day-pika-who-how-canadas-military-reacted-to-a-pokemon-go-invasion.html,Quotation of the Day: Pika-Who? How Canada’s Military Reacted to a Pokémon Go Invasion,article,Quote,,[]
2020-01-02,https://www.nytimes.com/2020/01/02/world/europe/austria-kurz-greens-coalition-government.html,Head-Scarf Ban and Carbon Taxes: Austria Gets an Unlikely Government,article,News,,"['Elections', 'Legislatures and Parliaments', 'Politics and Government']"
2020-01-02,https://www.nytimes.com/2020/01/02/briefing/austria-australia-fires-2020.html,Your Thursday Briefing,article,briefing,,[]
2020-01-02,https://www.nytimes.com/2020/01/02/arts/television/whats-on-tv-thursday-surviving-r-kelly-part-ii.html,What’s on TV Thursday: ‘Breakthrough’ and ‘Surviving R. Kelly Part II’,article,News,,"['Television', 'Movies']"
2020-01-02,https://www.nytimes.com/2020/01/02/learning/word-quiz-subsume.html,Word + Quiz: subsume,article,News,,[]
2020-01-02,https://www.nytimes.com/2020/01/02/world/asia/taiwan-military-chief-helicopter-crash.html,Taiwan’s Top Military Official and 7 Others Die in Helicopter Crash,article,News,,"['Defense and Military Forces', 'Helicopters', 'Aviation Accidents, Safety and Disasters', 'Deaths (Fatalities)']"
2020-01-02,https://www.nytimes.com/2020/01/02/learning/new-year-new-you.html,"New Year, New You?",article,News,,[]
2020-01-02,https://www.nytimes.com/2020/01/02/arts/television/surviving-r-kelly-2.html,‘Surviving R. Kelly’ Night One Recap: Threats and New Abuse Details,article,News,,"['Television', 'Documentary Films and Programs', 'Sex Crimes', 'Child Abuse and Neglect', '#MeToo Movement', 'RHYTHM AND BLUES (MUSIC)']"
2020-01-02,https://www.nytimes.com/2020/01/02/sports/basketball/david-stern-nba.html,How David Stern Navigated Race in the N.B.A.,article,News,,"['Basketball', 'Black People', 'Blacks', 'Race and Ethnicity', 'Labor and Jobs']"
2020-01-02,https://www.nytimes.com/2020/01/02/world/asia/indonesia-jakarta-rain-floods.html,Flash Floods in Indonesia Leave Hundreds of Thousands Homeless,article,News,,"['Floods', 'New Year', 'Rain']"
2020-01-02,https://www.nytimes.com/2020/01/02/learning/lesson-of-the-day-the-machines-are-learning-and-so-are-the-students.html,"Lesson of the Day: ‘The Machines Are Learning, and So Are the Students’",article,News,,[]
2020-01-02,https://www.nytimes.com/interactive/2020/01/02/realestate/02hunt-ganguly.html,"For Their First New York Purchase, a Couple Cast a Wide Net. Which of These Homes Would You Choose? ",multimedia,Interactive Feature,,"['Real Estate and Housing (Residential)', 'Condominiums']"
2020-01-02,https://www.nytimes.com/2020/01/02/learning/what-are-your-predictions-for-the-new-year-and-the-new-decade.html,What Are Your Predictions for the New Year and the New Decade?,article,News,,[]
2020-01-02,https://www.nytimes.com/2020/01/02/style/thanks-for-the-piece-of-plastic.html,Thanks for the Piece of Plastic?,article,News,,"['Customs, Etiquette and Manners']"
2020-01-02,https://www.nytimes.com/2020/01/02/books/review/robert-hass-by-the-book-interview.html,How Ursula K. Le Guin Fooled the Poet Robert Hass,article,News,,"['Books and Literature', 'Writing and Writers', 'Poetry and Poets']"
2020-01-02,https://www.nytimes.com/2020/01/02/books/review/inside-the-list-the-making-of-a-bestseller.html,Writing a Book Is a Solitary Endeavor. Publishing One Is a Group Effort.,article,List,,['Books and Literature']
2020-01-02,https://www.nytimes.com/2020/01/02/style/self-care/keto-diet-explained-benefits.html,What Is the Keto Diet and Does It Work?,article,News,,"['Obesity', 'Diet and Nutrition', 'Weight', 'Epilepsy', 'Carbohydrates']"
2020-01-02,https://www.nytimes.com/2020/01/02/travel/sarasota-art-museum-ringling.html,New Art Museum Adds to Sarasota’s Cultural Heritage,article,News,,"['Art', 'Museums']"
2020-01-02,https://www.nytimes.com/2020/01/02/reader-center/dispatches-international-news-features-journals.html,A Different Way to Show Readers the World,article,News,,['News and News Media']
2020-01-02,https://www.nytimes.com/2020/01/02/opinion/depression-america-trump.html,Why Is America So Depressed?,article,Op-Ed,,"['Mental Health and Disorders', 'Anxiety and Stress', 'Depression (Mental)', 'United States Politics and Government']"
2020-01-02,https://www.nytimes.com/2020/01/02/opinion/hypersonic-missiles.html,Hypersonic Missiles Are a Game Changer,article,Op-Ed,,"['Missiles and Missile Defense Systems', 'Defense and Military Forces', 'Arms Trade', 'Nuclear Weapons', 'Treaties', 'ARMS CONTROL AND LIMITATION AND DISARMAMENT', 'United States Defense and Military Forces', 'United States International Relations']"
