,date,url,headline,articles,doc_type,material_type,section,keywords
10,2021-05-01,https://www.nytimes.com/2021/05/01/us/politics/brian-miller-coronavirus-relief.html,Pandemic Inspector General Warns of Oversight Breakdown,An internal dispute at the Treasury Department shows the challenge of tracking trillions of dollars of economic relief money.,article,News,,"['United States Politics and Government', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Stimulus (Economic)', 'Inspectors General']"
11,2021-05-01,https://www.nytimes.com/2021/05/01/us/house-election-texas-susan-wright.html,23 Candidates Are on Ballot for Open Texas Congressional Seat,"The front-runner in Saturday’s election is Susan Wright, who has been endorsed by Donald J. Trump and is the widow of Representative Ron Wright, who died of Covid-19 in February.",article,News,,"['Elections, House of Representatives', 'United States Politics and Government', 'Endorsements']"
12,2021-05-01,https://www.nytimes.com/2021/05/01/nyregion/reopening-covid-nyc-mayor.html,"As New York City Reopens, Its Recovery Will Hinge on the Next Mayor",The Democratic candidates are making radically different bets about the mood and priorities of New Yorkers as the city moves toward reopening after the pandemic.,article,News,,"['Elections, Mayors', 'Primaries and Caucuses', 'Coronavirus Reopenings']"
13,2021-05-01,https://www.nytimes.com/2021/05/01/learning/may-vocabulary-challenge.html,May Vocabulary Challenge,How many of our recent Words of the Day can you use correctly in a 50-word story? Send us yours by May 17. And check out the winners of our April challenge!,article,News,,[]
14,2021-05-01,https://www.nytimes.com/interactive/2021/05/01/world/virus-cases-world-peak.html,"Global Virus Cases Reach New Peak, Driven by India and South America","Led by surges in the two hotspots and Eastern Europe, the average number of new daily cases has exceeded 800,000 for more than a week.",multimedia,Interactive Feature,,"['Coronavirus (2019-nCoV)', 'Hospitals', 'Disease Rates']"
15,2021-05-01,https://www.nytimes.com/2021/05/01/style/bill-nye-bombay-sapphire-tiktok.html,Bill Nye Is Still Having Fun With Science,The former host of “Bill Nye the Science Guy” has new fans on TikTok and a side gig as a celebrity pitchman.,article,News,,"['Content Type: Service', 'Science and Technology', 'Social Media', 'Advertising and Marketing']"
16,2021-05-01,https://www.nytimes.com/2021/05/01/style/zed-run-horse-racing.html,Digital Horses Are the Talk of the Crypto World,"Horse racing meet NFT mania on Zed Run, a digital platform where some top steeds are fetching six-figure sums.",article,News,,"['Horse Racing', 'Nonfungible Tokens (NFTs)', 'Computers and the Internet', 'Computer and Video Games']"
17,2021-05-01,https://www.nytimes.com/2021/05/01/fashion/weddings/from-best-friends-to-platonic-spouses.html,From Best Friends to Platonic Spouses,Some people are taking their friendships to the next level by saying “I do” to marriages without sex.,article,News,,"['Marriages', 'Friendship']"
18,2021-05-01,https://www.nytimes.com/2021/05/01/business/salt-tax-cap-repeal.html,"Why a $10,000 Tax Deduction Could Hold Up Trillions in Stimulus Funds",The fight over SALT is a case study in the age-old conflict between constituent politics and national policy.,article,News,,"['Tax Credits, Deductions and Exemptions', 'Federal Taxes (US)', 'Property Taxes', 'Income Tax', 'United States Politics and Government', 'Tax Cuts and Jobs Act (2017)', 'High Net Worth Individuals', 'Stimulus (Economic)', 'Infrastructure (Public Works)', 'American Jobs Plan (2021)']"
19,2021-05-01,https://www.nytimes.com/2021/05/01/world/europe/boris-johnson-carrie-symonds-scandal.html,Decorating Scandal Engulfs Boris Johnson and Puts Fiancée in Spotlight,Critics see the hand of Carrie Symonds in the costly makeover of the couple’s apartment and other political dust-ups. Supporters see “outdated sexist tropes.”,article,News,,"['Politics and Government', 'Interior Design and Furnishings', 'Embezzlement', 'Women and Girls', 'Discrimination', 'Content Type: Personal Profile']"
20,2021-05-01,https://www.nytimes.com/2021/05/01/nyregion/essex-ice.html,"After Years of Protests, a New Jersey County Ends Its ICE Jail Contract","The Essex County executive said the decision to stop holding undocumented immigrants for ICE in the county jail was based on money, not politics.",article,News,,"['Immigration Detention', 'Illegal Immigration', 'Politics and Government', 'Demonstrations, Protests and Riots']"
21,2021-05-01,https://www.nytimes.com/2021/05/01/style/brie-larson.html,Brie Larson Pivoted to Video,The Oscar-winning actress has found therapeutic refuge on YouTube.,article,News,,"['Content Type: Personal Profile', 'Quarantine (Life and Culture)', 'Video Recordings, Downloads and Streaming', 'Actors and Actresses']"
22,2021-05-01,https://www.nytimes.com/2021/05/01/nyregion/zoom-teacher-racist.html,N.J. Teacher Suspended After Calling George Floyd a ‘Criminal’,"The New Jersey high school teacher, Howard Zlotkin, has been suspended with pay after appearing to target Black students in an online class.",article,News,,"['Black People', 'Blacks', 'Black Lives Matter Movement', 'Education (K-12)', 'Discrimination', 'Police Brutality, Misconduct and Shootings', 'Teachers and School Employees']"
23,2021-05-01,https://www.nytimes.com/2021/05/01/us/arnold-schwarzenegger-california.html,Arnold Schwarzenegger Is No Longer the Governor of California. Right?,"Amid a pandemic and a recall, Mr. Schwarzenegger has been in demand at his Los Angeles mansion, embracing his unlikely role as California’s “elderly statesman.”",article,News,,"['Governors (US)', 'Politics and Government', 'Content Type: Personal Profile']"
24,2021-05-01,https://www.nytimes.com/2021/05/01/realestate/renovations-before-a-sale.html,Should You Renovate the Kitchen Before You Sell?,"One outdated room can stand out and hurt a sale. But before you do any last-minute work, set a budget and make sure you finish what you start.",article,News,,"['Real Estate and Housing (Residential)', 'Restoration and Renovation', 'Home Repairs and Improvements', 'Content Type: Service', 'Kitchens']"
25,2021-05-01,https://www.nytimes.com/2021/05/01/us/politics/joe-biden-the-reverse-ronald-reagan.html,"Joe Biden, the Reverse Ronald Reagan","Four decades later, another elder statesman seeks to transform Americans’ ideas about the size of government.",article,News,,['United States Politics and Government']
26,2021-05-01,https://www.nytimes.com/2021/05/01/world/middleeast/Saudi-Iran-talks.html,"Fierce Foes, Iran and Saudi Arabia Secretly Explore Defusing Tensions","Talks between the two regional powers, if successful, could start to lower the temperature on several conflicts across the Middle East.",article,News,,"['United States International Relations', 'War and Armed Conflicts', 'International Relations']"
27,2021-05-01,https://www.nytimes.com/2021/05/01/world/europe/uk-india-diaspora-Covid.html,"‘Every Time I’m Calling, Someone Has Died’: The Anguish of India’s Diaspora","In WhatsApp chats, video calls, Facebook groups and forums, a global community has scrambled to save, and sometimes mourn, Covid-stricken loved ones.",article,News,,"['Politics and Government', 'Families and Family Life', 'Indian-Americans', 'Coronavirus (2019-nCoV)', 'Grief (Emotion)']"
28,2021-05-01,https://www.nytimes.com/2021/05/01/us/politics/newtown-sandy-hook-elementary.html,A Search for Remembrance After the Sandy Hook Massacre,"The residents of Newtown, Conn., have approved a memorial to the children and staff killed at Sandy Hook Elementary School, but the sadness has yet to abate.",article,News,,"['Newtown, Conn, Shooting (2012)', 'Monuments and Memorials (Structures)']"
29,2021-05-01,https://www.nytimes.com/2021/05/01/us/politics/republican-pollwatchers.html,"G.O.P. Seeks to Empower Poll Watchers, Raising Intimidation Worries",Republicans in several states are pushing bills to give poll watchers more autonomy. Alarmed election officials and voting rights activists say it’s a new attempt to target voters of color.,article,News,,"['Elections', 'Voting and Voters', 'Discrimination', 'Black People', 'Blacks', 'Voter Fraud (Election Fraud)', 'Rumors and Misinformation', 'United States Politics and Government', 'Law and Legislation', 'Presidential Election of 2020']"
30,2021-05-01,https://www.nytimes.com/2021/05/01/world/asia/india-covid19-modi.html,India’s Covid-19 Crisis Shakes Modi’s Image of Strength,"Overconfidence and missteps contributed to the country’s devastating second wave, his critics say, tarnishing the prime minister’s aura of political invulnerability.",article,News,,"['Politics and Government', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Nationalism (Theory and Philosophy)', 'Deaths (Fatalities)', 'Disease Rates']"
31,2021-05-01,https://www.nytimes.com/2021/05/01/us/Linfield-university-professor-fired.html,Linfield University Fires Professor Who Spoke Out About Misconduct Cases,"Allegations of anti-Semitism, sexual misconduct and racial discrimination have led to turmoil on the small Oregon campus. Some have called for the university’s president to resign.",article,News,,"['Colleges and Universities', 'Sexual Harassment', 'Discrimination', 'Jews and Judaism', 'ANTI-SEMITISM', 'Sex Crimes']"
32,2021-05-01,https://www.nytimes.com/2021/05/01/business/dealbook/history-banks-social-movements.html,What History Can Teach Banks About Making Change,Financial institutions have a unique power to contribute to social movements — if they choose to use it.,article,News,,"['Civil Rights and Liberties', 'Race and Ethnicity', 'Banking and Financial Institutions', 'Municipal Bonds', 'Corporate Social Responsibility']"
33,2021-05-01,https://www.nytimes.com/2021/05/01/us/the-order-proud-boys-oath-keepers-far-right.html,"From the Past, a Chilling Warning About the Extremists of the Present","Almost four decades after officials dismantled the Order, a violent far-right group, experts see echoes in the far right of today.",article,News,,"['Fringe Groups and Movements', 'Right-Wing Extremism and Alt-Right', 'Neo Nazi Groups', 'Storming of the US Capitol (Jan, 2021)', 'Whites']"
34,2021-05-01,https://www.nytimes.com/2021/05/01/health/vaccinated-celebrities.html,Celebrities Are Endorsing Covid Vaccines. Does It Help?,Some celebrity vaccine endorsements have delighted social media users. But epidemiologists say there isn’t much evidence proving that they boost vaccine uptake.,article,News,,"['Vaccination and Immunization', 'Coronavirus (2019-nCoV)', 'Celebrities']"
35,2021-05-01,https://www.nytimes.com/2021/05/01/business/dealbook/berkshire-hathaway-earnings.html,Berkshire Hathaway Shows a Rebound From the Pandemic,"Warren Buffett was upbeat about his company’s increase in earnings in the first quarter. And, at the shareholders’ meeting, he defended Berkshire’s efforts on dealing with climate change.",article,News,,['Company Reports']
36,2021-05-01,https://www.nytimes.com/2021/05/01/world/middleeast/israel-mount-meron-stampede.html,Recriminations Intensify After Deadly Israel Stampede,"The deaths of 45 pilgrims at a Jewish holy site prompted a wave of national unity, but there were also growing calls for accountability.",article,News,,"['Stampedes', 'Orthodox Judaism']"
37,2021-05-01,https://www.nytimes.com/2021/05/01/world/nepal-india-covid.html,Nepal runs out of hospital beds as India’s outbreak spills across the border.,Health officials in the Himalayan nation warn of an “unmanageable” situation as infections reach levels not seen since last fall.,article,News,,"['internal-essential', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization']"
38,2021-05-01,https://www.nytimes.com/interactive/2021/05/01/us/politics/2020-census-congress-seats.html,It Only Takes a Few People to Change Your State’s Congressional Seats,"States can lose a House seat over a small number of people. In the case of New York, the number would fit in a single subway car. Take a look at other record margins that altered congressional representation.",multimedia,Interactive Feature,,"['Census', 'Redistricting and Reapportionment']"
39,2021-05-01,https://www.nytimes.com/2021/05/01/us/pandemic-foreign-seasonal-workers.html,Pandemic restrictions on foreign seasonal workers could crimp the U.S. summer.,Small business and industry groups are pressuring the Biden administration to relax international travel restrictions and visa application protocols.,article,News,,"['internal-essential', 'Foreign Workers', 'Travel Warnings', 'Summer (Season)', 'Coronavirus (2019-nCoV)', 'Labor and Jobs']"
40,2021-05-01,https://www.nytimes.com/2021/05/01/admin/cook-for-your-cravings.html,Cook for Your Cravings,"Whether you want something cozy and comforting, or something bright and herbaceous, we have a recipe for you.",article,News,,[]
41,2021-05-01,https://www.nytimes.com/2021/05/01/us/period-tear-gas-study-portland.html,"Hundreds Reported Abnormal Menstruation After Exposure to Tear Gas, Study Finds","A scientific paper expands on social media reports of sudden onset of periods, spotting and other menstrual peculiarities during last summer’s protests in Portland, Ore.",article,News,,"['Tear Gas', 'Demonstrations, Protests and Riots', 'Menstruation', 'Research']"
42,2021-05-01,https://www.nytimes.com/2021/05/01/opinion/joe-biden-jimmy-carter.html,The Jimmy Carter and Joe Biden Show,Two plain-spoken guys get together down in Plains.,article,Op-Ed,,"['United States Politics and Government', 'Presidents and Presidency (US)']"
43,2021-05-01,https://www.nytimes.com/2021/05/01/opinion/sunday/virgin-galactic-richard-branson-elon-musk.html,"For Richard Branson, the Romance of Space Tourism Meets Reality",Virgin Galactic’s failure to launch exposed the limits of human ingenuity.,article,Op-Ed,,"['Private Spaceflight', 'Rocket Science and Propulsion']"
44,2021-05-01,https://www.nytimes.com/2021/05/01/opinion/letters/covid-arts.html,"In a Pandemic, Finding Comfort in the Arts","Watching “Gilmore Girls,” campily performing play readings and writing poetry have been therapeutic for readers.",article,Letter,,"['Poetry and Poets', 'Theater', 'Coronavirus (2019-nCoV)']"
45,2021-05-01,https://www.nytimes.com/2021/05/01/opinion/letters/covid-languishing.html,A Year of ‘Languishing’ and ‘Fallow Space’,"“Languishing definitely describes the lack of interest I feel just now,” one reader writes. Another describes a fallow period of rest preparing for what comes next.",article,Letter,,"['Coronavirus (2019-nCoV)', 'Psychology and Psychologists', 'Depression (Mental)', 'Emotions']"
46,2021-05-01,https://www.nytimes.com/2021/05/01/opinion/letters/covid-stress-racism.html,Covid Isolation: A Reprieve From the Stresses of Racism,"A Black man relates how his body relaxed as he mostly stayed indoors, but tensions returned as he began venturing out and encountering everyday racial bias.",article,Letter,,"['Race and Ethnicity', 'Coronavirus (2019-nCoV)', 'Black People', 'Blacks', 'Anxiety and Stress']"
47,2021-05-01,https://www.nytimes.com/2021/05/01/opinion/sunday/covid-lockdown-social-small-talk.html,How to Make Your Small Talk Big,"As we emerge from social isolation, there are ways to make our conversations richer and deeper. ",article,Op-Ed,,"['Quarantine (Life and Culture)', 'Anxiety and Stress', 'Grief (Emotion)', 'Loneliness', 'Friendship']"
48,2021-05-01,https://www.nytimes.com/2021/05/01/us/politics/mcconnell-brent-spence-bridge-infrastructure.html,Biden’s Expansive Infrastructure Plan Hits Close to Home for McConnell,President Biden’s infrastructure plan could fund a long-overdue revamp of the Brent Spence Bridge between Ohio and Kentucky. But the Senate Republican leader opposes it.,article,News,,"['Infrastructure (Public Works)', 'United States Politics and Government', 'Bridges and Tunnels', 'American Jobs Plan (2021)']"
49,2021-05-01,https://www.nytimes.com/2021/05/01/world/europe/us-withdrawal-afghanistan-blast.html,Afghan Blast on Eve of U.S. Pullout Deadline Kills at Least 27,"If the blast was the work of the Taliban, as the Afghan government asserts, it would be the most overt signal yet that the peace deal is off.",article,News,,"['Terrorism', 'Afghanistan War (2001- )']"
50,2021-05-01,https://www.nytimes.com/2021/05/01/us/las-vegas-horse-fossil.html,"Horse Fossil, Possibly From the Ice Age, Is Found in a Las Vegas Backyard","Workers found the bones, which could be up to 14,000 years old, during the construction of a pool.",article,News,,"['Paleontology', 'Horses', 'Fossils', 'Ice Age']"
51,2021-05-01,https://www.nytimes.com/2021/05/01/crosswords/variety-vowel-less-crossword.html,Variety: Vowel-less Crossword,"Jst whn w wr strtng t fl smrt, vn Klsh stps b wth chllng.",article,News,,[]
52,2021-05-01,https://www.nytimes.com/2021/05/01/us/politics/trump-drone-strike-rules.html,Trump’s Secret Rules for Drone Strikes Outside War Zones Are Disclosed,The release of the 2017 policy — with redactions — stemmed from open-records lawsuits by The Times and the A.C.L.U.,article,News,,"['United States Politics and Government', 'Drones (Pilotless Planes)', 'Terrorism', 'Civilian Casualties', 'Targeted Killings', 'Classified Information and State Secrets', 'Afghanistan War (2001- )']"
53,2021-05-01,https://www.nytimes.com/2021/05/01/opinion/sunday/mothers-grandmothers-mental-health-whales-nature.html,Why a New Mother’s Biggest Asset Is Often Her Own Mom,"Scientists have found intergenerational care may be the key to thriving mothers, and children.",article,Op-Ed,,"[""Mother's Day"", 'Women and Girls', 'Children and Childhood', 'Parenting', 'Pregnancy and Childbirth']"
54,2021-05-01,https://www.nytimes.com/2021/05/01/nyregion/andrew-yang-venture-for-america-jobs.html,"Andrew Yang Promised to Create 100,000 Jobs. He Ended Up With 150.",Mr. Yang is running for mayor of New York City as a bold thinker and entrepreneur. But his results have been uneven.,article,News,,"['Elections, Mayors', 'Content Type: Personal Profile', 'Entrepreneurship', 'Start-ups', 'Labor and Jobs']"
55,2021-05-01,https://www.nytimes.com/2021/05/01/world/indonesia-covid-swabs-reused.html,"In Indonesia, lab workers are arrested and accused of reusing nasal swabs in thousands of coronavirus tests.",The authorities arrested five people and said they were investigating whether any people were infected with the coronavirus as a result of the contaminated tests given at an airport testing site.,article,News,,"['internal-essential', 'Coronavirus (2019-nCoV)']"
56,2021-05-01,https://www.nytimes.com/2021/05/01/business/venezuela-oil-executives-citgo-6.html,Venezuela Releases 6 U.S. Oil Executives to House Arrest,"The group, known as the “Citgo 6,” has been held on corruption charges. Their release may be a sign that Venezuela would like to improve relations with the Biden administration.",article,News,,"['International Relations', 'Oil (Petroleum) and Gasoline', 'Embezzlement']"
57,2021-05-01,https://www.nytimes.com/2021/05/01/obituaries/jeff-fox-52-dead-covid.html,"Jeff Fox, 52, Dies; Balanced Baseball With Protecting Presidents","A star college athlete who later worked in the Secret Service, he played for decades in elite amateur leagues around Washington. He died of Covid-19.",article,Obituary (Obit),,"['Deaths (Obituaries)', 'Coronavirus (2019-nCoV)', 'Baseball']"
58,2021-05-01,https://www.nytimes.com/2021/05/01/sports/olympics/john-konrads-dead.html,"John Konrads, ‘Wonder Boy’ Olympian Swimmer, Dies at 78","A Hall of Famer, he was a sensation at the 1960 Games in Rome. He and his sister Ilsa, a champion in her own right, were known as “the Konrads Kids.”",article,Obituary (Obit),,"['OLYMPIC GAMES (1960)', 'Deaths (Obituaries)', 'Swimming']"
59,2021-05-01,https://www.nytimes.com/2021/05/01/world/indias-covid-crisis-has-tarnished-modis-aura-of-political-invulnerability.html,India’s Covid crisis has tarnished Modi’s aura of political invulnerability.,,article,News,,['internal-essential']
60,2021-05-01,https://www.nytimes.com/2021/05/01/opinion/democrats-james-carville.html,When Wokeness Becomes Weakness,"It will take policy failure, not just off-putting rhetoric, for the new progressivism to doom Democrats.",article,Op-Ed,,"['United States Politics and Government', 'Education (K-12)', 'Politics and Government', 'Race and Ethnicity', 'Hispanic-Americans']"
61,2021-05-01,https://www.nytimes.com/2021/05/01/opinion/us-national-service-draft.html,Should Young Americans Be Required to Give a Year of Service?,A year of teamwork could help bridge our social divides.,article,Editorial,,['Volunteers and Community Service']
62,2021-05-01,https://www.nytimes.com/2021/05/01/opinion/sunday/tucker-carlson-trump.html,The New Trump? Easy. It’s Tucker.,You don’t just give your detractors agita. You give them material.,article,Op-Ed,,"['United States Politics and Government', 'News and News Media', 'Right-Wing Extremism and Alt-Right']"
63,2021-05-01,https://www.nytimes.com/2021/05/01/opinion/sunday/biden-fdr-americans.html,Joe Biden Is Electrifying America Like F.D.R.,My hometown in Oregon shows what the federal government can do — and also what happens when it stops trying.,article,Op-Ed,,"['Labor and Jobs', ""New Deal (1930's)"", 'American Jobs Plan (2021)', 'Education (K-12)', 'United States Politics and Government', 'Rural Areas', 'Colleges and Universities', 'Child Care', 'Wages and Salaries']"
64,2021-05-01,https://www.nytimes.com/2021/05/01/arts/james-prigoff-dead.html,"James Prigoff, Who Documented Street Art, Dies at 93","In thousands of pictures, Mr. Prigoff captured the often ephemeral but complex works that were once dismissed as vandalism.",article,Obituary (Obit),,"['Deaths (Obituaries)', 'Graffiti', 'Art', 'Photography', 'Murals']"
65,2021-05-01,https://www.nytimes.com/2021/05/01/world/australia/byron-bay-baes-netflix.html,Netflix Chronicles Byron Bay’s ‘Hot Instagrammers.’ Will Paradise Survive?,Tensions between protecting and capitalizing on the image of the famous Australian beach town have exploded over a new reality show.,article,News,,"['Reality Television', 'Luxury Goods and Services', 'Social Media', 'Beaches']"
66,2021-05-01,https://www.nytimes.com/2021/05/01/us/mike-nearman-oregon-charged-protesters.html,Oregon Lawmaker Who Let Protesters Into State Capitol Is Charged in Breach,"Surveillance footage shows State Representative Mike Nearman opening a door to let protesters into the Capitol, in Salem, last year.",article,News,,"['Storming of the US Capitol (Jan, 2021)', 'Demonstrations, Protests and Riots', 'State Legislatures']"
67,2021-05-01,https://www.nytimes.com/2021/05/01/movies/olympia-dukakis-dead.html,"Olympia Dukakis, Oscar Winner for ‘Moonstruck,’ Dies at 89","A veteran of the stage who also had a long list of film and TV credits, she was best known for playing characters who were worldly wise and world-weary.",article,Obituary (Obit),,"['Deaths (Obituaries)', 'Actors and Actresses', 'Movies', 'Theater', 'Academy Awards (Oscars)']"
68,2021-05-01,https://www.nytimes.com/2021/05/01/us/politics/elizabeth-warren-book-perist.html,Elizabeth Warren Grapples With Presidential Loss in New Book,"In “Persist,” the Massachusetts senator delves into gender issues and her own shortcomings after her failed bid for the Democratic nomination.",article,News,,"['Presidential Election of 2020', 'Debates (Political)', 'Books and Literature']"
69,2021-05-01,https://www.nytimes.com/2021/05/01/sports/horse-racing/malathaat-kentucky-oaks-belmont.html,Malathaat won the Kentucky Oaks and could meet the boys in the Belmont.,"The favorite Malathaat won the Kentucky Oaks by a neck at Churchill Downs on Friday, and her connections are not ruling out a matchup against the boys in the Belmont.",article,News,,"['Kentucky Oaks Horse Race', 'Triple Crown (Horse Racing)']"
70,2021-05-01,https://www.nytimes.com/interactive/2021/05/01/us/elections/results-texas-house-district-6-special-election.html,Texas Special Election Results: Sixth Congressional District,See full results and maps from the Texas special election.,multimedia,Interactive Feature,,"['Elections', 'Elections, House of Representatives']"
71,2021-05-01,https://www.nytimes.com/2021/05/01/sports/horse-racing/at-this-derby-party-house-everyone-is-like-family.html,"At this Derby party house, everyone is ‘like family.’",An unassuming house across from Churchill Downs that was once owned by a member of the band Pavement welcomes racegoers and celebrities alike.,article,News,,"['Horse Racing', 'Kentucky Derby', 'Parties (Social)']"
72,2021-05-01,https://www.nytimes.com/2021/05/01/crosswords/daily-puzzle-2021-05-02.html,Initial Impressions,Dan Schoenholz gets our Sunday off to a flying start.,article,News,,['Crossword Puzzles']
73,2021-05-01,https://www.nytimes.com/2021/05/01/obituaries/manisha-jadhav-dead-coronavirus.html,"Manisha Jadhav, Key Administrator at Mumbai Hospital, Dies at 51","Dr. Jadhav took action when the pandemic hit last year, mustering personal protection equipment, food and transportation for the staff.",article,Obituary (Obit),,"['Deaths (Obituaries)', 'Coronavirus (2019-nCoV)', 'Doctors', 'Hospitals']"
74,2021-05-01,https://www.nytimes.com/2021/05/01/us/politics/newsmax-dominion-apology.html,Newsmax Apologizes for False Claims of Vote-Rigging by a Dominion Employee,"The right-wing news site said it had found “no evidence” for pro-Trump conspiracy theories about Eric Coomer, who was Dominion’s director of product strategy and security.",article,News,,"['Presidential Election of 2020', 'Suits and Litigation (Civil)', 'United States Politics and Government', 'News and News Media', 'Voting Machines', 'Rumors and Misinformation', 'Voter Fraud (Election Fraud)', 'Apologies']"
75,2021-05-02,https://www.nytimes.com/2021/05/01/world/india-covid-record-cases-vaccine.html,"India’s nightmare: Record high cases, vaccine shortages, hospital fires.",The country’s caseload remains higher than any other has ever reached.,article,News,,"['internal-essential', 'Coronavirus (2019-nCoV)']"
76,2021-05-02,https://www.nytimes.com/2021/05/01/at-home/things-to-do-this-week.html,Get Dressed With the Postal Service and Listen to Classical Music,"This week, learn about the history of Cinco de Mayo, explore the future of America’s Chinatowns or make paper flowers.",article,News,,['Quarantine (Life and Culture)']
77,2021-05-02,https://www.nytimes.com/2021/05/01/at-home/online-concerts.html,Take In a Concert Online,"Virtually live performances are getting livelier (and bigger), with some great acts and multi-artist concerts to watch this month.",article,News,,"['Quarantine (Life and Culture)', 'Music', 'Content Type: Service', 'Coronavirus (2019-nCoV)']"
78,2021-05-02,https://www.nytimes.com/2021/05/01/at-home/weave-a-rag-rug.html,Got Rags? Weave a Rug,It’s easy to turn unwanted pieces of cloth into fun home décor.,article,News,,"['Quarantine (Life and Culture)', 'Content Type: Service', 'Carpets and Rugs', 'Handicrafts', 'Textiles']"
79,2021-05-02,https://www.nytimes.com/2021/05/01/world/asia/north-korea-biden.html,North Korea Warns Biden Against ‘Hostile Policy’,An official said President Biden had made “a big blunder” by characterizing the North’s nuclear arsenal as a threat to the United States.,article,News,,"['United States International Relations', 'Nuclear Weapons', 'Propaganda']"
80,2021-05-02,https://www.nytimes.com/2021/05/01/us/susan-wright-sixth-district-texas.html,"With 23 Candidates, Special Election in Texas Is Headed for Runoff","The front-runner was Susan Wright, who was endorsed by Donald J. Trump and is the widow of Representative Ron Wright, who died of Covid-19 in February.",article,News,,"['United States Politics and Government', 'Elections, House of Representatives']"
81,2021-05-02,https://www.nytimes.com/2021/05/01/travel/floral-cocktails.html,Surprise Mom With a Floral Cocktail,"Flowers are magic. They are beautiful, uplifting and, when added to a drink, incredibly refreshing.",article,News,,"['Content Type: Service', 'Cocktails and Mixed Drinks', 'Flowers and Plants', 'Quarantine (Life and Culture)']"
82,2021-05-02,https://www.nytimes.com/2021/05/01/at-home/lawn-games.html,"This Spring, Get the Balls Rolling","In this era of social distancing, lawn games like croquet, badminton and horseshoes offer a great way to spend some time outside.",article,News,,"['Quarantine (Life and Culture)', 'Content Type: Service', 'Croquet', 'Horseshoe Throwing', 'Badminton', 'Bocce (Game)']"
