,date,url,headline,articles,doc_type,material_type,section,keywords,label
10,2021-05-01,politics,Pandemic Inspector General Warns of Oversight Breakdown,internal dispute treasury department show challenge track trillion dollar economic relief money,article,News,,"['United States Politics and Government', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Stimulus (Economic)', 'Inspectors General']",politics
11,2021-05-01,us,23 Candidates Are on Ballot for Open Texas Congressional Seat,front runner saturday election susan wright endorse donald j trump widow representative ron wright die covid february,article,News,,"['Elections, House of Representatives', 'United States Politics and Government', 'Endorsements']",us
12,2021-05-01,nyregion,"As New York City Reopens, Its Recovery Will Hinge on the Next Mayor",democratic candidate make radically different bet mood priority new yorkers city move reopen pandemic,article,News,,"['Elections, Mayors', 'Primaries and Caucuses', 'Coronavirus Reopenings']",nyregion
13,2021-05-01,learning,May Vocabulary Challenge,many recent word day use correctly word story send check winner april challenge,article,News,,[],learning
14,2021-05-01,world,"Global Virus Cases Reach New Peak, Driven by India and South America",lead surge hotspot eastern europe average number new daily case exceed week,multimedia,Interactive Feature,,"['Coronavirus (2019-nCoV)', 'Hospitals', 'Disease Rates']",world
15,2021-05-01,style,Bill Nye Is Still Having Fun With Science,former host bill science guy new fan tiktok side gig celebrity pitchman,article,News,,"['Content Type: Service', 'Science and Technology', 'Social Media', 'Advertising and Marketing']",style
16,2021-05-01,style,Digital Horses Are the Talk of the Crypto World,horse race meet nft mania zed run digital platform top steed fetch figure sum,article,News,,"['Horse Racing', 'Nonfungible Tokens (NFTs)', 'Computers and the Internet', 'Computer and Video Games']",style
17,2021-05-01,fashion,From Best Friends to Platonic Spouses,people take friendship next level say marriages sex,article,News,,"['Marriages', 'Friendship']",fashion
18,2021-05-01,business,"Why a $10,000 Tax Deduction Could Hold Up Trillions in Stimulus Funds",fight salt case study age old conflict constituent politics national policy,article,News,,"['Tax Credits, Deductions and Exemptions', 'Federal Taxes (US)', 'Property Taxes', 'Income Tax', 'United States Politics and Government', 'Tax Cuts and Jobs Act (2017)', 'High Net Worth Individuals', 'Stimulus (Economic)', 'Infrastructure (Public Works)', 'American Jobs Plan (2021)']",business
19,2021-05-01,world,Decorating Scandal Engulfs Boris Johnson and Puts Fiancée in Spotlight,critic see hand carrie symonds costly makeover couple apartment political dust ups supporter see outdated sexist trope,article,News,,"['Politics and Government', 'Interior Design and Furnishings', 'Embezzlement', 'Women and Girls', 'Discrimination', 'Content Type: Personal Profile']",world
20,2021-05-01,nyregion,"After Years of Protests, a New Jersey County Ends Its ICE Jail Contract",essex county executive say decision stop hold undocumented immigrant ice county jail base money politics,article,News,,"['Immigration Detention', 'Illegal Immigration', 'Politics and Government', 'Demonstrations, Protests and Riots']",nyregion
21,2021-05-01,style,Brie Larson Pivoted to Video,oscar win actress find therapeutic refuge youtube,article,News,,"['Content Type: Personal Profile', 'Quarantine (Life and Culture)', 'Video Recordings, Downloads and Streaming', 'Actors and Actresses']",style
22,2021-05-01,nyregion,N.J. Teacher Suspended After Calling George Floyd a ‘Criminal’,new jersey high school teacher howard zlotkin suspend pay appear target black student online class,article,News,,"['Black People', 'Blacks', 'Black Lives Matter Movement', 'Education (K-12)', 'Discrimination', 'Police Brutality, Misconduct and Shootings', 'Teachers and School Employees']",nyregion
23,2021-05-01,us,Arnold Schwarzenegger Is No Longer the Governor of California. Right?,pandemic recall mr schwarzenegger demand los angeles mansion embrace unlikely role california elderly statesman,article,News,,"['Governors (US)', 'Politics and Government', 'Content Type: Personal Profile']",us
24,2021-05-01,realestate,Should You Renovate the Kitchen Before You Sell?,outdated room stand hurt sale last minute work set budget make sure finish start,article,News,,"['Real Estate and Housing (Residential)', 'Restoration and Renovation', 'Home Repairs and Improvements', 'Content Type: Service', 'Kitchens']",realestate
25,2021-05-01,politics,"Joe Biden, the Reverse Ronald Reagan",decade later elder statesman seek transform american idea size government,article,News,,['United States Politics and Government'],politics
26,2021-05-01,world,"Fierce Foes, Iran and Saudi Arabia Secretly Explore Defusing Tensions",talk regional power successful start lower temperature several conflict middle east,article,News,,"['United States International Relations', 'War and Armed Conflicts', 'International Relations']",world
27,2021-05-01,world,"‘Every Time I’m Calling, Someone Has Died’: The Anguish of India’s Diaspora",whatsapp chat video call facebook group forums global community scramble save sometimes mourn covid stricken love one,article,News,,"['Politics and Government', 'Families and Family Life', 'Indian-Americans', 'Coronavirus (2019-nCoV)', 'Grief (Emotion)']",world
28,2021-05-01,politics,A Search for Remembrance After the Sandy Hook Massacre,resident newtown conn approve memorial child staff kill sandy hook elementary school sadness yet abate,article,News,,"['Newtown, Conn, Shooting (2012)', 'Monuments and Memorials (Structures)']",politics
29,2021-05-01,politics,"G.O.P. Seeks to Empower Poll Watchers, Raising Intimidation Worries",republican several state push bill give poll watcher autonomy alarmed election official vote right activist say new attempt target voter color,article,News,,"['Elections', 'Voting and Voters', 'Discrimination', 'Black People', 'Blacks', 'Voter Fraud (Election Fraud)', 'Rumors and Misinformation', 'United States Politics and Government', 'Law and Legislation', 'Presidential Election of 2020']",politics
30,2021-05-01,world,India’s Covid-19 Crisis Shakes Modi’s Image of Strength,overconfidence misstep contribute country devastate second wave critic say tarnish prime minister aura political invulnerability,article,News,,"['Politics and Government', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Nationalism (Theory and Philosophy)', 'Deaths (Fatalities)', 'Disease Rates']",world
31,2021-05-01,us,Linfield University Fires Professor Who Spoke Out About Misconduct Cases,allegation anti semitism sexual misconduct racial discrimination lead turmoil small oregon campus call university president resign,article,News,,"['Colleges and Universities', 'Sexual Harassment', 'Discrimination', 'Jews and Judaism', 'ANTI-SEMITISM', 'Sex Crimes']",us
32,2021-05-01,business,What History Can Teach Banks About Making Change,financial institution unique power contribute social movement choose use,article,News,,"['Civil Rights and Liberties', 'Race and Ethnicity', 'Banking and Financial Institutions', 'Municipal Bonds', 'Corporate Social Responsibility']",business
33,2021-05-01,us,"From the Past, a Chilling Warning About the Extremists of the Present",almost decade official dismantle order violent far right group expert see echo far right today,article,News,,"['Fringe Groups and Movements', 'Right-Wing Extremism and Alt-Right', 'Neo Nazi Groups', 'Storming of the US Capitol (Jan, 2021)', 'Whites']",us
34,2021-05-01,health,Celebrities Are Endorsing Covid Vaccines. Does It Help?,celebrity vaccine endorsement delight social medium user epidemiologist say much evidence prove boost vaccine uptake,article,News,,"['Vaccination and Immunization', 'Coronavirus (2019-nCoV)', 'Celebrities']",health
35,2021-05-01,business,Berkshire Hathaway Shows a Rebound From the Pandemic,warren buffett upbeat company increase earnings first quarter shareholder meeting defend berkshire effort deal climate change,article,News,,['Company Reports'],business
36,2021-05-01,world,Recriminations Intensify After Deadly Israel Stampede,death pilgrim jewish holy site prompt wave national unity also grow call accountability,article,News,,"['Stampedes', 'Orthodox Judaism']",world
37,2021-05-01,world,Nepal runs out of hospital beds as India’s outbreak spills across the border.,health official himalayan nation warn unmanageable situation infection reach level see last fall,article,News,,"['internal-essential', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization']",world
38,2021-05-01,politics,It Only Takes a Few People to Change Your State’s Congressional Seats,state lose house seat small number people case new york number fit single subway car take look record margin alter congressional representation,multimedia,Interactive Feature,,"['Census', 'Redistricting and Reapportionment']",politics
39,2021-05-01,us,Pandemic restrictions on foreign seasonal workers could crimp the U.S. summer.,small business industry group pressure biden administration relax international travel restriction visa application protocol,article,News,,"['internal-essential', 'Foreign Workers', 'Travel Warnings', 'Summer (Season)', 'Coronavirus (2019-nCoV)', 'Labor and Jobs']",us
40,2021-05-01,admin,Cook for Your Cravings,want something cozy comforting something bright herbaceous recipe,article,News,,[],admin
41,2021-05-01,us,"Hundreds Reported Abnormal Menstruation After Exposure to Tear Gas, Study Finds",scientific paper expand social medium report sudden onset period spot menstrual peculiarity last summer protest portland ore,article,News,,"['Tear Gas', 'Demonstrations, Protests and Riots', 'Menstruation', 'Research']",us
42,2021-05-01,opinion,The Jimmy Carter and Joe Biden Show,plain speak guy get together plain,article,Op-Ed,,"['United States Politics and Government', 'Presidents and Presidency (US)']",opinion
43,2021-05-01,opinion,"For Richard Branson, the Romance of Space Tourism Meets Reality",virgin galactic failure launch expose limit human ingenuity,article,Op-Ed,,"['Private Spaceflight', 'Rocket Science and Propulsion']",opinion
44,2021-05-01,opinion,"In a Pandemic, Finding Comfort in the Arts",watch gilmore girl campily perform play reading write poetry therapeutic reader,article,Letter,,"['Poetry and Poets', 'Theater', 'Coronavirus (2019-nCoV)']",opinion
45,2021-05-01,opinion,A Year of ‘Languishing’ and ‘Fallow Space’,languish definitely describe lack interest feel reader write describe fallow period rest preparing come next,article,Letter,,"['Coronavirus (2019-nCoV)', 'Psychology and Psychologists', 'Depression (Mental)', 'Emotions']",opinion
46,2021-05-01,opinion,Covid Isolation: A Reprieve From the Stresses of Racism,black man relate body relax mostly stay indoors tension return begin venture encounter everyday racial bias,article,Letter,,"['Race and Ethnicity', 'Coronavirus (2019-nCoV)', 'Black People', 'Blacks', 'Anxiety and Stress']",opinion
47,2021-05-01,opinion,How to Make Your Small Talk Big,emerge social isolation way make conversation rich deep,article,Op-Ed,,"['Quarantine (Life and Culture)', 'Anxiety and Stress', 'Grief (Emotion)', 'Loneliness', 'Friendship']",opinion
48,2021-05-01,politics,Biden’s Expansive Infrastructure Plan Hits Close to Home for McConnell,president biden infrastructure plan fund long overdue revamp brent spence bridge ohio kentucky senate republican leader oppose,article,News,,"['Infrastructure (Public Works)', 'United States Politics and Government', 'Bridges and Tunnels', 'American Jobs Plan (2021)']",politics
49,2021-05-01,world,Afghan Blast on Eve of U.S. Pullout Deadline Kills at Least 27,blast work taliban afghan government assert overt signal yet peace deal,article,News,,"['Terrorism', 'Afghanistan War (2001- )']",world
50,2021-05-01,us,"Horse Fossil, Possibly From the Ice Age, Is Found in a Las Vegas Backyard",worker find bone year old construction pool,article,News,,"['Paleontology', 'Horses', 'Fossils', 'Ice Age']",us
51,2021-05-01,crosswords,Variety: Vowel-less Crossword,jst whn w wr strtng fl smrt vn klsh stp b wth chllng,article,News,,[],crosswords
52,2021-05-01,politics,Trump’s Secret Rules for Drone Strikes Outside War Zones Are Disclosed,release policy redaction stem open record lawsuit time c l u,article,News,,"['United States Politics and Government', 'Drones (Pilotless Planes)', 'Terrorism', 'Civilian Casualties', 'Targeted Killings', 'Classified Information and State Secrets', 'Afghanistan War (2001- )']",politics
53,2021-05-01,opinion,Why a New Mother’s Biggest Asset Is Often Her Own Mom,scientist find intergenerational care key thrive mother child,article,Op-Ed,,"[""Mother's Day"", 'Women and Girls', 'Children and Childhood', 'Parenting', 'Pregnancy and Childbirth']",opinion
54,2021-05-01,nyregion,"Andrew Yang Promised to Create 100,000 Jobs. He Ended Up With 150.",mr yang run mayor new york city bold thinker entrepreneur result uneven,article,News,,"['Elections, Mayors', 'Content Type: Personal Profile', 'Entrepreneurship', 'Start-ups', 'Labor and Jobs']",nyregion
55,2021-05-01,world,"In Indonesia, lab workers are arrested and accused of reusing nasal swabs in thousands of coronavirus tests.",authority arrest people say investigate people infect coronavirus result contaminated test give airport test site,article,News,,"['internal-essential', 'Coronavirus (2019-nCoV)']",world
56,2021-05-01,business,Venezuela Releases 6 U.S. Oil Executives to House Arrest,group know citgo hold corruption charge release sign venezuela like improve relation biden administration,article,News,,"['International Relations', 'Oil (Petroleum) and Gasoline', 'Embezzlement']",business
57,2021-05-01,obituaries,"Jeff Fox, 52, Dies; Balanced Baseball With Protecting Presidents",star college athlete later work secret service play decade elite amateur league washington die covid,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Coronavirus (2019-nCoV)', 'Baseball']",obituaries
58,2021-05-01,sports,"John Konrads, ‘Wonder Boy’ Olympian Swimmer, Dies at 78",hall famer sensation game rome sister ilsa champion right know konrads kid,article,Obituary (Obit),,"['OLYMPIC GAMES (1960)', 'Deaths (Obituaries)', 'Swimming']",sports
60,2021-05-01,opinion,When Wokeness Becomes Weakness,take policy failure put rhetoric new progressivism doom democrat,article,Op-Ed,,"['United States Politics and Government', 'Education (K-12)', 'Politics and Government', 'Race and Ethnicity', 'Hispanic-Americans']",opinion
61,2021-05-01,opinion,Should Young Americans Be Required to Give a Year of Service?,year teamwork help bridge social divide,article,Editorial,,['Volunteers and Community Service'],opinion
62,2021-05-01,opinion,The New Trump? Easy. It’s Tucker.,give detractor agita give material,article,Op-Ed,,"['United States Politics and Government', 'News and News Media', 'Right-Wing Extremism and Alt-Right']",opinion
63,2021-05-01,opinion,Joe Biden Is Electrifying America Like F.D.R.,hometown oregon show federal government also happen stop try,article,Op-Ed,,"['Labor and Jobs', ""New Deal (1930's)"", 'American Jobs Plan (2021)', 'Education (K-12)', 'United States Politics and Government', 'Rural Areas', 'Colleges and Universities', 'Child Care', 'Wages and Salaries']",opinion
64,2021-05-01,arts,"James Prigoff, Who Documented Street Art, Dies at 93",thousand picture mr prigoff capture often ephemeral complex work dismiss vandalism,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Graffiti', 'Art', 'Photography', 'Murals']",arts
65,2021-05-01,world,Netflix Chronicles Byron Bay’s ‘Hot Instagrammers.’ Will Paradise Survive?,tension protect capitalize image famous australian beach town explode new reality show,article,News,,"['Reality Television', 'Luxury Goods and Services', 'Social Media', 'Beaches']",world
66,2021-05-01,us,Oregon Lawmaker Who Let Protesters Into State Capitol Is Charged in Breach,surveillance footage show state representative mike nearman open door let protester capitol salem last year,article,News,,"['Storming of the US Capitol (Jan, 2021)', 'Demonstrations, Protests and Riots', 'State Legislatures']",us
67,2021-05-01,movies,"Olympia Dukakis, Oscar Winner for ‘Moonstruck,’ Dies at 89",veteran stage also long list film tv credit best know play character worldly wise world weary,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Actors and Actresses', 'Movies', 'Theater', 'Academy Awards (Oscars)']",movies
68,2021-05-01,politics,Elizabeth Warren Grapples With Presidential Loss in New Book,persist massachusetts senator delve gender issue shortcoming failed bid democratic nomination,article,News,,"['Presidential Election of 2020', 'Debates (Political)', 'Books and Literature']",politics
69,2021-05-01,sports,Malathaat won the Kentucky Oaks and could meet the boys in the Belmont.,favorite malathaat win kentucky oak neck churchill friday connection rule matchup boy belmont,article,News,,"['Kentucky Oaks Horse Race', 'Triple Crown (Horse Racing)']",sports
70,2021-05-01,elections,Texas Special Election Results: Sixth Congressional District,see full result map texas special election,multimedia,Interactive Feature,,"['Elections', 'Elections, House of Representatives']",elections
71,2021-05-01,sports,"At this Derby party house, everyone is ‘like family.’",unassuming house churchill member band pavement welcome racegoers celebrity alike,article,News,,"['Horse Racing', 'Kentucky Derby', 'Parties (Social)']",sports
72,2021-05-01,crosswords,Initial Impressions,dan schoenholz get sunday fly start,article,News,,['Crossword Puzzles'],crosswords
73,2021-05-01,obituaries,"Manisha Jadhav, Key Administrator at Mumbai Hospital, Dies at 51",dr jadhav take action pandemic hit last year muster personal protection equipment food transportation staff,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Coronavirus (2019-nCoV)', 'Doctors', 'Hospitals']",obituaries
74,2021-05-01,politics,Newsmax Apologizes for False Claims of Vote-Rigging by a Dominion Employee,right wing news site say find evidence pro trump conspiracy theory eric coomer dominion director product strategy security,article,News,,"['Presidential Election of 2020', 'Suits and Litigation (Civil)', 'United States Politics and Government', 'News and News Media', 'Voting Machines', 'Rumors and Misinformation', 'Voter Fraud (Election Fraud)', 'Apologies']",politics
75,2021-05-02,world,"India’s nightmare: Record high cases, vaccine shortages, hospital fires.",country caseload remain high ever reach,article,News,,"['internal-essential', 'Coronavirus (2019-nCoV)']",world
76,2021-05-02,at-home,Get Dressed With the Postal Service and Listen to Classical Music,week learn history cinco future america chinatowns make paper flower,article,News,,['Quarantine (Life and Culture)'],at-home
77,2021-05-02,at-home,Take In a Concert Online,virtually live performance get lively big great act multi artist concert watch month,article,News,,"['Quarantine (Life and Culture)', 'Music', 'Content Type: Service', 'Coronavirus (2019-nCoV)']",at-home
78,2021-05-02,at-home,Got Rags? Weave a Rug,easy turn unwanted piece cloth fun home décor,article,News,,"['Quarantine (Life and Culture)', 'Content Type: Service', 'Carpets and Rugs', 'Handicrafts', 'Textiles']",at-home
79,2021-05-02,world,North Korea Warns Biden Against ‘Hostile Policy’,official say president biden make big blunder characterize north nuclear arsenal threat united state,article,News,,"['United States International Relations', 'Nuclear Weapons', 'Propaganda']",world
80,2021-05-02,us,"With 23 Candidates, Special Election in Texas Is Headed for Runoff",front runner susan wright endorse donald j trump widow representative ron wright die covid february,article,News,,"['United States Politics and Government', 'Elections, House of Representatives']",us
81,2021-05-02,travel,Surprise Mom With a Floral Cocktail,flower magic beautiful uplifting add drink incredibly refresh,article,News,,"['Content Type: Service', 'Cocktails and Mixed Drinks', 'Flowers and Plants', 'Quarantine (Life and Culture)']",travel
82,2021-05-02,at-home,"This Spring, Get the Balls Rolling",era social distance lawn game croquet badminton horseshoe offer great way spend time,article,News,,"['Quarantine (Life and Culture)', 'Content Type: Service', 'Croquet', 'Horseshoe Throwing', 'Badminton', 'Bocce (Game)']",at-home
83,2021-05-02,at-home,Make a Card That Blooms,card decorate pop flower serve perfect spring greeting case forget mother day corner,article,News,,"['Quarantine (Life and Culture)', 'Flowers and Plants', ""Mother's Day"", 'Greeting Cards', 'Content Type: Service', 'Handicrafts']",at-home
84,2021-05-02,science,SpaceX Makes First Nighttime Splashdown With Astronauts Since 1968,crew launch space station november leave space station capsule call resilience,article,News,,"['Private Spaceflight', 'Rocket Science and Propulsion', 'International Space Station', 'Space and Astronomy']",science
85,2021-05-02,todayspaper,"Quotation of the Day: 9 Years After Tragedy, a Search for Remembrance",quotation day sunday,article,Quote,,[],todayspaper
86,2021-05-02,us,"Editors’ Note: May 2, 2021",note correction appear print sunday,article,News,,[],us
87,2021-05-02,nyregion,"‘Once Aboard, We Noticed Some Groups of People Sticking Together’",ride circle line pick produce reader tale new york city week metropolitan diary,article,News,,[],nyregion
88,2021-05-02,business,Has Online Retail’s Biggest Bully Returned?,outraged customer eyeglassesdepot sound victim man already spent year prison terrorize consumer,article,News,,"['E-Commerce', 'Counterfeit Merchandise', 'Consumer Reviews', 'Frauds and Swindling', 'Threats and Threatening Messages']",business
89,2021-05-02,world,"Lucha Libre, Yoga, Dancing: Welcome to Mexico City’s Vaccination Sites",calm mexico city elderly arrive really scar vaccination site official cue band mask wrestler,article,News,,"['Vaccination and Immunization', 'Quarantine (Life and Culture)', 'Coronavirus (2019-nCoV)', 'Wrestling', 'Dancing', 'Elderly', 'Yoga']",world
90,2021-05-02,us,Gunman Kills 2 at Wisconsin Casino,police say officer kill assailant shooting casino hotel complex green bay,article,News,,"['Murders, Attempted Murders and Homicides']",us
91,2021-05-02,books,An Ambitious Novel Takes Flight,great circle maggie shipstead cross century time zone deliver epic story woman life air,article,Review,,['Books and Literature'],books
92,2021-05-02,insider,When The Times Didn’t Print on Sundays,breakout civil war create huge demand news allow time vault taboo put daily paper sunday,article,News,,"['Newspapers', 'Civil War (US) (1861-65)']",insider
93,2021-05-02,politics,Indian Health Service Settles Dispute Over Care in New Mexico,federal agency agree postpone year proposal cut service hospital serve tribal citizen,article,News,,"['Native Americans', 'Coronavirus (2019-nCoV)', 'Hospitals', 'United States Politics and Government']",politics
94,2021-05-02,realestate,"Homes That Sold for Around $750,000",recent residential sale new york city region,article,News,,['Real Estate and Housing (Residential)'],realestate
95,2021-05-02,business,Mercedes EQS Electric Sedan: The S Stands for Stunning,automaker able win back customer drift tesla hold tesla curious,article,News,,"['Electric and Hybrid Vehicles', 'Automobiles', 'Luxury Goods and Services']",business
96,2021-05-02,politics,Why Kristi Noem Is Rising Quickly as a Republican Prospect for 2024,noem governor south dakota defy coronavirus restriction eagerly project rugged great plainswoman image move stir support conflict g p,article,News,,"['Presidential Election of 2024', 'Conservatism (US Politics)']",politics
97,2021-05-02,sports,"Denied a Season, Some Ivy League Athletes Craft a Baseball Gap Year",ivy league division conference decide spring sport lead athlete baseball player brown find outside way train,article,News,,"['Baseball (College)', 'NCAA Baseball Championships', 'Colleges and Universities', 'Baseball', 'College Athletics']",sports
98,2021-05-02,world,Clubhouse App Creates Space for Open Talk in Middle East,social networking app boom authoritarian country user speak freely otherwise taboo topic,article,News,,"['Social Media', 'Surveillance of Citizens by Government', 'Mobile Applications', 'Computers and the Internet']",world
99,2021-05-02,world,"How Can the Olympics Protect 78,000 Volunteers From the Coronavirus?",offer little couple mask hand sanitizer social distancing guidance hard abide,article,News,,"['Olympic Games (2020)', 'Volunteers and Community Service', 'Coronavirus (2019-nCoV)', 'Athletics and Sports']",world
100,2021-05-02,world,"Modi’s Party Loses a Key Election, Held Under the Cloud of Covid",prime minister party lose big west bengal criticism mishandling pandemic fuel catastrophic surge case india,article,News,,['Coronavirus (2019-nCoV)'],world
101,2021-05-02,technology,Apple and Epic Head to Court Over Their Slices of the App Pie,apple epic game maker wildly popular game fortnite square monday trial decide much control apple exert app economy,article,News,,"['Mobile Applications', 'Computer and Video Games', 'Antitrust Laws and Competition Issues', 'Suits and Litigation (Civil)', 'Smartphones', 'E-Commerce']",technology
102,2021-05-02,briefing,"India, Voting Rights, Kentucky Derby: Your Weekend Briefing",need know week top story,article,briefing,,[],briefing
103,2021-05-02,business,The Week in Business: A Plan for Paid Family Leave,biden announce ambitious expensive plan fund pay family leave child care high education,article,News,,"['United States Economy', 'American Families Plan (2021)', 'Stimulus (Economic)', 'United States Politics and Government', 'Mobile Applications', 'Antitrust Laws and Competition Issues', 'Travel and Vacations']",business
104,2021-05-02,arts,‘Donkey Hodie’ Adds a Fresh Face to Fred Rogers’s World. And a Mohawk.,new pb kid series follow spunky young granddaughter character mister rogers neighborhood learn important lesson face life challenge,article,News,,"['Television', 'Puppets', 'Children and Childhood']",arts
105,2021-05-02,learning,"What’s Going On in This Picture? | May 3, 2021",look closely image strip caption join moderated conversation student see,article,News,,[],learning
106,2021-05-02,podcasts,The Sunday Read: ‘He Wants to Save Classics From Whiteness. Can the Field Survive?’,dan el padilla peralta think classicist knock ancient greece rome pedestal even mean destroy discipline,article,News,,"['Education', 'Race and Ethnicity', 'Discrimination', 'Colleges and Universities']",podcasts
108,2021-05-02,world,"The virus is surging in Alaska’s interior, straining a Fairbanks hospital.",new case double past week borough include city positivity rate soar percent,article,News,,"['internal-essential', 'Coronavirus (2019-nCoV)', 'Hospitals']",world
109,2021-05-02,world,"In a First, Researchers Discover a Pregnant Egyptian Mummy",find treasure trove pick mushroom forest archaeologist say overwhelm discovery,article,News,,"['Mummies and Mummification', 'Egyptian Civilization', 'Archaeology and Anthropology', 'Research', 'Pregnancy and Childbirth', 'Women and Girls']",world
110,2021-05-02,dining,What to Cook This Week,wait make eric kim sheet pan bibimbap kimchi jjiigae rib adapt mother jean soonest,article,News,,"['Quarantine (Life and Culture)', 'Cooking and Cookbooks', 'Content Type: Service']",dining
111,2021-05-02,us,How a Miami School Became a Beacon for Anti-Vaxxers,centner academy bar teacher newly vaccinate coronavirus near student parent threaten withdraw child others clamor enroll,article,News,,"['Education (K-12)', 'Private and Sectarian Schools', 'Vaccination and Immunization', 'Coronavirus (2019-nCoV)', 'Teachers and School Employees', 'Rumors and Misinformation']",us
112,2021-05-02,opinion,Federal Money for Public Libraries,new york city library president call federal assistance also scott rudin abusive behavior ageism goodbye skinny jean,article,Letter,,"['Libraries and Librarians', 'Infrastructure (Public Works)', 'Discrimination', 'Elderly', 'Jeans (Apparel)']",opinion
113,2021-05-02,opinion,What Kind of Fear Is Stopping Joe Biden?,politics drive threat angry voter domestic uprising foreign state break american impasse,article,Op-Ed,,"['United States Politics and Government', 'American Jobs Plan (2021)', 'American Rescue Plan (2021)', 'Presidents and Presidency (US)', 'Federal Taxes (US)', ""New Deal (1930's)"", 'American Families Plan (2021)']",opinion
114,2021-05-02,opinion,There’s No Classics ‘Catastrophe’ at Howard University,student still study plato aristotle afford whole department,article,Op-Ed,,"['Colleges and Universities', 'Black People', 'Blacks', 'Historically Black Colleges and Universities', 'Endowments', 'Humanities']",opinion
115,2021-05-02,books,"Fred Jordan, Publisher of Taboo-Breaking Books, Dies at 95",grove press barney rosset challenged censor popularize h lawrence henry miller william burroughs allen ginsberg others,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Book Trade and Publishing', 'Books and Literature', 'Censorship', 'Freedom of Speech and Expression']",books
116,2021-05-02,books,"Jason Matthews, C.I.A. Officer Turned Novelist, Dies at 69",year agency turn well receive novel include realistic detail espionage appearance vladimir putin,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Espionage and Intelligence Services', 'Writing and Writers', 'Books and Literature']",books
118,2021-05-02,world,$18 Million Refit of Colosseum Will Give Visitors a Gladiator’s View,winning design new floor roman landmark plan ready cover exposed subterranean chamber reconnect thread time,article,News,,"['Colosseum (Rome)', 'Archaeology and Anthropology', 'Restoration and Renovation', 'Historic Buildings and Sites']",world
119,2021-05-02,world,Love or Spycraft: What Landed an American Teacher in a Cuban Prison?,romance steep international intrigue land alina lópez miyares cuban prison much know web entangle,article,News,,"['United States International Relations', 'Americans Abroad', 'Political Prisoners', 'Espionage and Intelligence Services', 'Diplomatic Service, Embassies and Consulates', 'Content Type: Personal Profile']",world
120,2021-05-02,world,Russian Attempts to Expand Sputnik Vaccine Set Off Discord in Europe,political turmoil slovakia example russia vaccine diplomacy divide politician europe negative side effect recipient country,article,News,,"['Vaccination and Immunization', 'Politics and Government', 'Coronavirus (2019-nCoV)']",world
