date,category_id,category,headline,articles,url
2020-01-01,4,business,"The Work Diary of Anna Bond, Whose Work Includes … Making Diaries",in an ical era the cofounder of rifle paper co seller of stationery and home goods still relies on physical planners and the drivethrough,https://www.nytimes.com/2020/01/01/business/rifle-paper-co.html
2020-01-01,1,world,Pika-Who? How Pokémon Go Confused the Canadian Military,we should almost hire a 12yearold to help us out with this an official wrote,https://www.nytimes.com/2020/01/01/world/canada/pokemon-go-canada-military.html
2020-01-01,1,world,What Kim Jong-un’s Latest Threats Say About His Trump Strategy,with an election and impeachment trial pending in the united states north koreas leader added elements of caution in his threat of shocking action,https://www.nytimes.com/2020/01/01/world/asia/north-korea-kim-trump.html
2020-01-01,1,world,Mexico Prison Fight Leaves at Least 16 Inmates Dead,officials said several guns were found in the penitentiary,https://www.nytimes.com/2020/01/01/world/americas/mexico-prison-fight.html
2020-01-01,1,world,Netanyahu Seeks Immunity From Israeli Corruption Charges,his request to parliament is a rare move and a potentially unpopular one heading into a general election but it could keep the israeli leader out of court,https://www.nytimes.com/2020/01/01/world/middleeast/israel-netanyahu-immunity.html
2020-01-01,1,world,Pope Francis Apologizes After Slapping Away a Clinging Pilgrim,as the pontiff greeted members of the public on new years eve one woman grabbed his hand with both of hers a video of the incident was shared widely online,https://www.nytimes.com/2020/01/01/world/europe/pope-francis-slap-video.html
2020-01-01,5,sports,Fearless Predictions for the N.B.A. in 2020,breaking out the crystal roundball for some almost fearless predictions for the nba in 2020,https://www.nytimes.com/2020/01/01/sports/basketball/fearless-predictions-for-the-nba-in-2020.html
2020-01-01,0,opinion,North Korea Is Not Done Trolling Trump,kim jongun just restarted his dance of death with america,https://www.nytimes.com/2020/01/01/opinion/north-korea-nuclear-test.html
2020-01-01,1,world,"Flying Lanterns Probably Caused Zoo Fire in Germany, Police Say",the blaze burned down a primate enclosure killing at least 30 animals three women told the police that they were sorry for using flying lanterns on new years eve,https://www.nytimes.com/2020/01/01/world/europe/zoo-fire-krefeld-germany.html
2020-01-01,0,opinion,"Coaching Female Athletes, and Gender Inequality",promoting women in these roles does not mean that we should denigrate the men in them a reader says,https://www.nytimes.com/2020/01/01/opinion/letters/women-athletes.html
2020-01-01,0,opinion,Can Collectors: Nuisance or Public Service?,readers offer different views of those who earn money by rummaging through trash bags to collect recyclables,https://www.nytimes.com/2020/01/01/opinion/letters/canners-recyclables.html
2020-01-01,0,opinion,Rethinking How We Choose Candidates,readers offer their suggestions for how to revamp the primary process in response to a column by david leonhardt,https://www.nytimes.com/2020/01/01/opinion/letters/united-states-elections.html
2020-01-01,4,business,A Restaurant With No Leftovers,a brooklyn wine bar and restaurant is one of a handful of establishments in different cities that are trying to eliminate waste from their premises,https://www.nytimes.com/2020/01/01/business/zero-waste-restaurants.html
2020-01-01,2,politics,Trump Bet He Could Isolate Iran and Charm North Korea. It’s Not That Easy.,the president assumed economic levers would guide the countries national interests now he confronts twin challenges in an election year,https://www.nytimes.com/2020/01/01/us/politics/trump-iran-north-korea.html
2020-01-01,3,arts,Review: Anna Netrebko Rings in the Year With a Met Gala,the companys prima donna showed off her past present and future artistry in acts from three puccini operas,https://www.nytimes.com/2020/01/01/arts/music/review-anna-netrebko-met-opera.html
2020-01-01,3,arts,"Woody Vasulka, Whose Video Art Extended Boundaries, Dies at 82",he deftly manipulated electronic images to produce otherworldly sometimes jarring visions he also founded with his wife a landmark performance space,https://www.nytimes.com/2020/01/01/arts/woody-vasulka-dead.html
2020-01-01,1,world,"Fazle Abed, Founder of a Leading Relief Agency, Dies at 83",mr abed gave up a job as a senior executive at a multinational company to start brac after he saw his native land bangladesh devastated by war,https://www.nytimes.com/2020/01/01/world/asia/fazle-hasan-abed-dead.html
2020-01-01,1,world,The Lesson of an Albanian Earthquake: The Balkans Aren’t Ready for the Big One,successive governments have failed to address the risks posed by aging buildings and shoddy construction leaving millions vulnerable,https://www.nytimes.com/2020/01/01/world/europe/earthquake-albania-balkans.html
2020-01-01,0,opinion,Only You Can Prevent Dystopia,how to survive the internet in 2020 its not going to be easy,https://www.nytimes.com/2020/01/01/opinion/social-media-2020.html
2020-01-01,0,opinion,Every Moment With My Son Is an Act of Creation,now we have written a book together,https://www.nytimes.com/2020/01/01/opinion/fatherhood-sons.html
2020-01-01,0,opinion,Shock Waves From American Airstrikes in Iraq May Have Just Begun,retaliation against an iranbacked militia set off antiamerican protests that could strengthen irans hand,https://www.nytimes.com/2020/01/01/opinion/iraq-embassy-iran.html
2020-01-01,5,sports,"David Stern, Transformative N.B.A. Commissioner, Dies at 77",his marketing vision turned the worlds premier professional basketball league into a global brand with its biggest stars as its ambassadors,https://www.nytimes.com/2020/01/01/sports/basketball/david-stern-dead.html
2020-01-01,0,opinion,It’s an Old and Insidious Hatred. And New Yorkers Can’t Stand for It.,a show of support for the true spirit of new york,https://www.nytimes.com/2020/01/01/opinion/anti-semitism-new-york.html
2020-01-01,5,sports,David Stern Saw Where the Sports World Was Headed Long Before It Got There,stern was a visionary who understood that pro athletes were seeking more power in their sports while other commissioners tried to stop the effort he used it to his advantage,https://www.nytimes.com/2020/01/01/sports/david-stern-death-legacy.html
2020-01-01,2,politics,He’s Not ‘Mayor Pete’ Anymore: Buttigieg’s Successor Is Sworn In,pete buttigieg rose to prominence and viability as a presidential candidate as the mayor of south bend ind now that tenure has ended,https://www.nytimes.com/2020/01/01/us/politics/pete-buttigieg-mayor-south-bend.html
2020-01-01,2,politics,Pompeo Cancels Ukraine Trip Amid Protests at Embassy in Iraq,a meeting with president volodymyr zelensky of ukraine would have been the first for a top trump official since the impeachment inquiry began,https://www.nytimes.com/2020/01/01/us/politics/pompeo-cancels-ukraine-trip.html
2020-01-02,0,opinion,Already Had Plenty of Trump 2020?,hes a bad show but its not lowflow,https://www.nytimes.com/2020/01/01/opinion/trump-2020.html
2020-01-02,0,opinion,Why Did One-Quarter of the World’s Pigs Die in a Year?,swine fever devastated chinas stock because with unsound governance even sound regulations have perverse effects,https://www.nytimes.com/2020/01/01/opinion/china-swine-fever.html
2020-01-02,5,sports,"N.B.A. Superstars, Growth and Lockouts: The David Stern Years",the longtime commissioner received acclaim for building the league into a vital global business but he also was at the center of contentious disputes,https://www.nytimes.com/2020/01/01/sports/basketball/david-stern-commissioner-timeline.html
2020-01-02,5,sports,"In Rose Bowl Victory Over Wisconsin, Oregon Shows Rebuild Needs Work",the ducks managed to win with only 204 yards in total offense  the fewest by a team in the rose bowl since 1979,https://www.nytimes.com/2020/01/01/sports/ncaafootball/rose-bowl-oregon.html
2020-01-02,1,world,"India Cold Wave Breaks Records, Shuts Schools and Makes Bad Air Worse",across the north including new delhi plunging temperatures have caused a run on shelters in a region more used to extreme heat,https://www.nytimes.com/2020/01/01/world/asia/india-cold-pollution.html
2020-01-02,1,world,Head-Scarf Ban and Carbon Taxes: Austria Gets an Unlikely Government,after months of talks sebastian kurzs conservatives and progressive greens agreed on a coalition that could be a harbinger for the rest of europe,https://www.nytimes.com/2020/01/02/world/europe/austria-kurz-greens-coalition-government.html
2020-01-02,3,arts,What’s on TV Thursday: ‘Breakthrough’ and ‘Surviving R. Kelly Part II’,a drama based on a miraculous missouri incident airs on hbo and lifetime airs a followup to its muchviewed r kelly documentary series,https://www.nytimes.com/2020/01/02/arts/television/whats-on-tv-thursday-surviving-r-kelly-part-ii.html
2020-01-02,1,world,Taiwan’s Top Military Official and 7 Others Die in Helicopter Crash,the helicopter was carrying military personnel to an event in northeastern taiwan when it went down on a wooded mountainside,https://www.nytimes.com/2020/01/02/world/asia/taiwan-military-chief-helicopter-crash.html
2020-01-02,3,arts,‘Surviving R. Kelly’ Night One Recap: Threats and New Abuse Details,a new lifetime series examines the criminal charges against the singer and how accusing him changed the lives of the women who came forward,https://www.nytimes.com/2020/01/02/arts/television/surviving-r-kelly-2.html
2020-01-02,5,sports,How David Stern Navigated Race in the N.B.A.,stern was known as a fierce negotiator who was considerate of the racial implications of overseeing a mostly black league though he also faced criticism for some of his decisions,https://www.nytimes.com/2020/01/02/sports/basketball/david-stern-nba.html
2020-01-02,1,world,Flash Floods in Indonesia Leave Hundreds of Thousands Homeless,at least 43 people have been killed in the most intense rains to strike jakarta the countrys capital since record keeping began,https://www.nytimes.com/2020/01/02/world/asia/indonesia-jakarta-rain-floods.html
2020-01-02,0,opinion,Why Is America So Depressed?,its no coincidence that our politics and our mental health have declined so rapidly at the same time,https://www.nytimes.com/2020/01/02/opinion/depression-america-trump.html
2020-01-02,0,opinion,Hypersonic Missiles Are a Game Changer,no existing defenses can stop such weapons  which is why everyone wants them,https://www.nytimes.com/2020/01/02/opinion/hypersonic-missiles.html
2020-01-02,0,opinion,An Old Battle Resumes at the Supreme Court,the trump administration seeks to undermine a key protection against unlawful detention,https://www.nytimes.com/2020/01/02/opinion/guantanamo-detention-supreme-court.html
2020-01-02,3,arts,What to See Right Now in New York Art Galleries,a baronesss watercolors jasper johnss crosshatches a survey of abstract photography and alice micelis radiographs of chernobyl,https://www.nytimes.com/2020/01/02/arts/design/new-york-art-galleries.html
2020-01-02,2,politics,"Andrew Yang Raised $16.5 Million in the Last 3 Months, His Campaign Says",donations to mr yang in the fourth quarter of 2019 were his highest in any such period and put him among the top fundraisers in the democratic presidential field,https://www.nytimes.com/2020/01/02/us/politics/andrew-yang-fundraising.html
2020-01-02,4,business,Turkey Questions Pilots About Carlos Ghosn’s Escape From Japan,mr ghosn the former nissan and renault chief fled japan to avoid trial and arrived in lebanon this week,https://www.nytimes.com/2020/01/02/business/carlos-ghosn-france-extradite.html
2020-01-02,2,politics,"Bernie Sanders Raised $34.5 Million in the Fourth Quarter, Pacing the Field",mr sanderss total is the largest threemonth haul disclosed by any candidate so far in the democratic primary race,https://www.nytimes.com/2020/01/02/us/politics/bernie-sanders-q4-campaign-fundraising.html
2020-01-02,4,business,Mustang From Famed ‘Bullitt’ Car Chase Heads to Auction,the owner of steve mcqueens hero car figures the price could approach 5 million or at least far more than the 3500 his father paid in 1974,https://www.nytimes.com/2020/01/02/business/bullitt-mustang-auction.html
2020-01-02,1,world,"Turkey, Flexing Its Muscles, Will Send Troops to Libya",a new wrinkle in the battle for an oilrich country and a signal from president erdogan that turkey aims to be a power broker in a volatile region,https://www.nytimes.com/2020/01/02/world/europe/erdogan-turkey-libya.html
2020-01-02,4,business,How Did Carlos Ghosn Flee Japan?,emerging details suggest that the former nissan and renault chairman owes his arrival in lebanon to an escape plan on a grand scale,https://www.nytimes.com/2020/01/02/business/dealbook/carlos-ghosn-japan-lebanon.html
2020-01-02,3,arts,The 50 TV Shows You Need to Watch This Winter,just kidding there are actually a lot more,https://www.nytimes.com/2020/01/02/arts/television/50-shows-to-watch.html
2020-01-02,5,sports,"Carmelo Anthony Scores, and Loses, at the Garden. Sound Familiar?",the former knick had 26 points and 7 rebounds but his trail blazers fell,https://www.nytimes.com/2020/01/02/sports/carmelo-anthony-knicks-trailblazers.html
2020-01-02,2,politics,Julián Castro Ends Presidential Run: ‘It Simply Isn’t Our Time’,mr castro the former housing secretary and mayor of san antonio was the only latino candidate in the race he championed progressive policies but did not find his footing in polls,https://www.nytimes.com/2020/01/02/us/politics/julian-castro-dropping-out.html
2020-01-02,1,world,‘It’s Going to Be a Blast Furnace’: Australia Fires Intensify,calling for evacuations along the southeastern coast officials said the next few days would be among the worst yet in an already catastrophic fire season,https://www.nytimes.com/2020/01/02/world/australia/fires.html
2020-01-02,0,opinion,Biden Is Smart to Talk About a Republican V.P.,dont believe the hype,https://www.nytimes.com/2020/01/02/opinion/joe-biden-2020-republicans.html
2020-01-02,3,arts,"In the Swim of Digital Images, There’s Nothing Boring About Sculpture",in bronze silver or aluminum a statue is an idea made solid two inventive shows in new york reaffirm the power of art in three dimensions,https://www.nytimes.com/2020/01/02/arts/design/Charles-Ray-Bertoldo-de-Giovanni-bronzes.html
2020-01-02,1,world,Israeli Supreme Court Removes an Obstacle for Netanyahu,the court was asked to consider whether a prime ministerial candidate charged with serious crimes can form a new government it ruled that the petition was premature,https://www.nytimes.com/2020/01/02/world/middleeast/netanyahu-indictment-court.html
2020-01-02,5,sports,N.H.L. Takeaways at the Season’s Midpoint,at the halfway mark of the season five head coaches have been fired and the st louis blues are thriving as the reigning champions,https://www.nytimes.com/2020/01/02/sports/hockey/nhl-takeaways-december.html
2020-01-02,3,arts,"The Best Movies and TV Shows Coming to Netflix, Apple TV Plus and More in January",every month subscription streaming services add a new batch of titles to their libraries here are our picks for january,https://www.nytimes.com/2020/01/02/arts/television/new-to-stream-netflix.html
2020-01-02,0,opinion,"Compassion, Not Patriarchy, at A.A. Meetings",three readers rebut an oped article that was critical of aa walking into my first aa meeting was the single bravest thing i have ever done one writes,https://www.nytimes.com/2020/01/02/opinion/letters/alcoholics-anonymous-women.html
2020-01-02,4,business,Apple Deal Returns Former HBO Boss Richard Plepler to Spotlight,ten months after he chafed under atts takeover of the network he reboots himself as a producer in a fiveyear deal with apple tv plus,https://www.nytimes.com/2020/01/02/business/media/richard-plepler-apple.html
2020-01-02,2,politics,Joe Biden Says He Raised $22.7 Million in the Fourth Quarter,mr bidens total while far short of the haul that senator bernie sanders announced earlier thursday was an improvement from the previous quarter,https://www.nytimes.com/2020/01/02/us/politics/joe-biden-fundraising.html
2020-01-02,4,business,"Carlos Ghosn Flirted With Hollywood, Then Delivered a Plot Twist",the fallen auto titan held early discussions with a movie producer before his audacious escape the films villain japanese justice,https://www.nytimes.com/2020/01/02/business/carlos-ghosn-movie.html
2020-01-02,0,opinion,"Joe Biden, Demand That You Testify",a reader says speaking at an impeachment trial of donald trump would show that the former vice president has nothing to hide also the death of the publishing legend sonny mehta,https://www.nytimes.com/2020/01/02/opinion/letters/biden-trump-impeachment.html
2020-01-02,4,business,‘Gut Feelings’ Are Driving the Markets,valuations are high but investors are still willing to hold because of a visceral emotion driven by president trump,https://www.nytimes.com/2020/01/02/business/gut-feelings-are-driving-the-markets.html
2020-01-02,1,world,A ‘Sir’ With Blue-Collar Roots: Britain’s Labour Race Has an Unlikely Leader,a party that lost many of its workingclass voters in last months election may turn unexpectedly to a london lawyer to be its next leader an early poll shows,https://www.nytimes.com/2020/01/02/world/europe/keir-starmer-labour-leader.html
2020-01-02,1,world,"After Embassy Attack, U.S. Is Prepared to Pre-emptively Strike Militias in Iraq",defense secretary mark t esper who issued the warning after an american contractor was killed by an iraniansupported militia said the game has changed,https://www.nytimes.com/2020/01/02/world/middleeast/iraq-embassy-attack.html
2020-01-02,3,arts,"Suit Against Artforum Can Proceed, but Not Claims Naming Publisher",a new york appeals court clears the way for some of a former magazine employees claims of retaliation against her in a metoo case,https://www.nytimes.com/2020/01/02/arts/design/artforum-lawsuit-knight-landesman.html
2020-01-02,5,sports,Yankees’ Domingo German Suspended 81 Games for Domestic Violence,the suspension includes 18 games german missed in 2019 while mlb conducted an investigation so he will be out for the first 63 games of 2020,https://www.nytimes.com/2020/01/02/sports/baseball/domingo-german-suspension.html
2020-01-02,1,world,"As India Violence Gets Worse, Police Are Accused of Abusing Muslims",as demonstrations over a citizenship law sweep india more accounts are emerging of mistreatment and harsh tactics by police and state officials,https://www.nytimes.com/2020/01/02/world/asia/india-protests-police-muslims.html
2020-01-02,3,arts,5 Comedy Shows to Catch in N.Y.C. This Weekend,our guide to standup improv and variety shows happening this weekend and in the week ahead,https://www.nytimes.com/2020/01/02/arts/nyc-this-weekend-comedy.html
2020-01-02,3,arts,8 Things to Do With Your Kids in N.Y.C. This Weekend,our guide to cultural events in new york city for children and teenagers happening this weekend and in the week ahead,https://www.nytimes.com/2020/01/02/arts/nyc-this-weekend-childrens-events.html
2020-01-02,3,arts,5 Classical Music Concerts to See in N.Y.C. This Weekend,our guide to the citys best classical music and opera happening this weekend and in the week ahead,https://www.nytimes.com/2020/01/02/arts/music/concerts-new-york-classical.html
2020-01-02,3,arts,6 Dance Performances to See in N.Y.C. This Weekend,our guide to dance performances happening this weekend and in the week ahead,https://www.nytimes.com/2020/01/02/arts/dance/nyc-this-weekend-dance.html
2020-01-02,3,arts,18 Art Exhibitions to View in N.Y.C. This Weekend,our guide to new art shows and some that will be closing soon,https://www.nytimes.com/2020/01/02/arts/design/nyc-this-weekend-art-and-museums.html
2020-01-02,3,arts,"12 Pop, Rock and Jazz Concerts to Check Out in N.Y.C. This Weekend",our guide to pop and rock shows and the best of live jazz happening this weekend and in the week ahead,https://www.nytimes.com/2020/01/02/arts/music/concerts-new-york.html
2020-01-02,3,arts,Rachel Feinstein Unveils the Darker Side of Fantasyland,with her first museum retrospective the artist and fashion muse talks about confecting fanciful works with a core of steel,https://www.nytimes.com/2020/01/02/arts/design/rachel-feinstein-jewish-museum.html
2020-01-02,3,arts,How Much Watching Time Do You Have This Weekend?,our critic has recommendations including an engaging new web series and two returning favorites  one earnest the other filthy,https://www.nytimes.com/2020/01/02/arts/television/anne-green-gables-netflix-brockmire.html
2020-01-02,1,world,Video Showing Sexual Assault by Mob in Egypt Draws Outrage,the police said they were investigating the video which showed a group of men swarming around a woman grabbing at her as she screamed,https://www.nytimes.com/2020/01/02/world/africa/egypt-video-assault.html
2020-01-02,0,opinion,So You Want to Convince a Climate Change Skeptic,here are some strategies for a hard conversation,https://www.nytimes.com/2020/01/02/opinion/climate-change-deniers.html
2020-01-02,5,sports,Don Larsen Became an Unlikely Legend in 9 Perfect Innings,larsens singular accomplishment a perfect game in the 1956 world series is a testament to the whims of the baseball gods,https://www.nytimes.com/2020/01/02/sports/baseball/don-larsen.html
2020-01-02,5,sports,Mario Balotelli’s Italian Homecoming,the soccer star returned to his hometown last summer and to italys serie a the city had changed but so had he,https://www.nytimes.com/2020/01/02/sports/soccer/mario-balotelli-brescia.html
2020-01-02,5,sports,Many Felt David Stern’s Wrath. He’ll Be Missed Anyway.,stern built a rapport with many of the people around him despite a dictatorial management style that probably wouldnt fly today,https://www.nytimes.com/2020/01/02/sports/basketball/david-stern-marc-stein.html
2020-01-02,3,arts,Things to Do in N.Y.C. This January,to kick off 2020 weve compiled a months worth of free familyfriendly and otherwise noteworthy cultural events,https://www.nytimes.com/2020/01/02/arts/things-to-do-in-nyc-this-january.html
2020-01-02,0,opinion,A Ridiculously Optimistic History of the Next Decade,a fantasy of what could come true,https://www.nytimes.com/2020/01/02/opinion/2020s-decade.html
2020-01-02,0,opinion,Apocalypse Becomes the New Normal,were already in the early stages of climate crisis,https://www.nytimes.com/2020/01/02/opinion/climate-change-australia.html
2020-01-02,2,politics,The Only Safe Bet in 2020,brace yourselves for the political hurricane thats about to make landfall,https://www.nytimes.com/2020/01/02/us/politics/on-politics-2020-prediction.html
2020-01-03,2,politics,More Than 200 Republicans Urge Supreme Court to Weigh Overturning Roe v. Wade,two house democrats joined them in signing a legal brief in a case that is certain to inject the divisive politics of abortion into the 2020 presidential race,https://www.nytimes.com/2020/01/02/us/politics/republicans-abortion-supreme-court.html
2020-01-03,2,politics,Cash-Rich Democrats Brace for Long Fight as Trump Hoards Money,fundraising numbers for the fourth quarter of 2019 show an unusually high number of viable campaigns waiting for the winner president trump and his huge war chest,https://www.nytimes.com/2020/01/02/us/politics/q4-democratic-trump-fundraising.html
2020-01-03,0,opinion,Why Are You Publicly Sharing Your Child’s DNA Information?,by uploading their childrens genetic information on public websites parents are forever exposing their personal health data,https://www.nytimes.com/2020/01/02/opinion/dna-test-privacy-children.html
2020-01-03,1,world,"U.S. Strike in Iraq Kills Qassim Suleimani, Commander of Iranian Forces",suleimani was planning attacks on americans across the region leading to an airstrike in baghdad the pentagon statement said irans supreme leader called for vengeance,https://www.nytimes.com/2020/01/02/world/middleeast/qassem-soleimani-iraq-iran-attack.html
2020-01-03,0,opinion,Julián Castro Is Worth More Out of the Presidential Race Than He Was in It,the remaining candidates should emulate his fighting words  and try to win him to their side,https://www.nytimes.com/2020/01/02/opinion/julian-castro-2020.html
2020-01-03,2,politics,Biden Warns About Disinformation After Misleading Video,a day after a deceptively edited video of him spread on social media joseph r biden jr cautioned that the democratic nominee would be vulnerable to false information in the general election,https://www.nytimes.com/2020/01/02/us/politics/joe-biden-culture-video.html
2020-01-03,1,world,Killing of Iranian Commander Is Met With Criticism and Tough Talk,mixed reaction to the news that maj gen qassim suleimani died in a targeted strike by the united states at baghdad international airport,https://www.nytimes.com/2020/01/02/world/trump-qassim-suleimani-twitter.html
2020-01-03,2,politics,U.S. Strike on Iranian General Divides Congress,the killing of the powerful commander of the islamic revolutionary guards corps is certain to reignite a debate over presidential war powers,https://www.nytimes.com/2020/01/02/us/politics/us-iran-war.html
2020-01-03,1,world,Maps: How the Confrontation Between the U.S. and Iran Escalated,heres how the situation developed over the last two weeks,https://www.nytimes.com/interactive/2020/01/03/world/middleeast/iraq-embassy-baghdad-airport-attack.html
2020-01-03,3,arts,What’s on TV Friday: An Ilana Glazer Stand-Up Special and ‘Little Women’,ilana glazer the planet is burning hits amazon and the 1994 adaptation of little women airs on showtime showcase,https://www.nytimes.com/2020/01/03/arts/television/whats-on-tv-friday-an-ilana-glazer-stand-up-special-and-little-women.html
2020-01-03,1,world,Bracing for an Even Worse Weekend of Australia Fires,on friday officials in the state of new south wales drastically expanded their estimate of the amount of land at risk,https://www.nytimes.com/2020/01/03/world/australia/fires-latest.html
2020-01-03,4,business,"Oil Prices Jump, and Stocks Slide, After U.S. Kills Iranian General",analysts warned that the airstrike on an iranian commander raised the prospect of volatility in iran and iraq two major oil producers,https://www.nytimes.com/2020/01/03/business/iran-oil.html
2020-01-03,0,opinion,Australia Is Committing Climate Suicide,as record fires rage the countrys leaders seem intent on sending it to its doom,https://www.nytimes.com/2020/01/03/opinion/australia-fires-climate-change.html
2020-01-03,4,business,Carlos Ghosn Was Aided in Flight From Japan by Former Green Beret,more details about the former auto executives escape emerged the japanese news media said cameras showed him leaving his tokyo home alone,https://www.nytimes.com/2020/01/03/business/carlos-ghosn-cameras.html
2020-01-03,0,opinion,My Phones,i am one of those fifty billion green pings moving through central park or the pentagon,https://www.nytimes.com/interactive/2020/01/03/opinion/matthew-zapruder-privacy-poem.html
2020-01-03,0,opinion,The Protest,shed carried the mask around all morning like keeping it close would tell her whether to go,https://www.nytimes.com/interactive/2020/01/03/opinion/alex-berenson-privacy-protest.html
2020-01-03,0,opinion,The Countdown,did the uncertainty of death  when and how it would arrive  make days like this one easier or more difficult to appreciate,https://www.nytimes.com/interactive/2020/01/03/opinion/amadou-diallo-the-countdown.html
2020-01-03,0,opinion,From the Analyst Sifting Through Our Digital Traces,surveillance is a song that turns off the songs you could be singing,https://www.nytimes.com/interactive/2020/01/03/opinion/jennifer-kronovet-privacy-poem.html
2020-01-03,0,opinion,Confessions of a Dating Profile,my bosss demands were very very persuasive appealing to the deep human need to share and be seen i know because i wrote them,https://www.nytimes.com/interactive/2020/01/03/opinion/eric-kaplan-dating-profile.html
2020-01-03,0,opinion,Parent-Teacher Association,this is your network we told our kids each dot is an opportunity a chance to connect the more you connect the larger your network,https://www.nytimes.com/interactive/2020/01/03/opinion/jessica-powell-parent-teacher-association.html
2020-01-03,0,opinion,"Alexa, Awake",i scrolled through the photographs of the two of you kissing handinhand the archaeology of your love pieced together in binary code,https://www.nytimes.com/interactive/2020/01/03/opinion/brian-turner-alexa-poem.html
2020-01-03,0,opinion,Stealth,so many apps weve downloaded as parts of our bodies but we take it all off now all that tech unless we need some gizmo to breathe,https://www.nytimes.com/interactive/2020/01/03/opinion/jillian-weise-stealth.html
2020-01-03,4,business,"He Mocks Saudi Arabia on YouTube. Yes, He Fears for His Safety.",ghanem almasarir a satirist based in london says officials in saudi arabia are behind threats to his life and the spyware infection of his phones,https://www.nytimes.com/2020/01/03/business/media/saudi-arabia-dissident-al-masrir.html
2020-01-03,4,business,Office Treats Bring Out the Worst of Humanity,free food disappears fast which is why you have to think strategically and trust no one,https://www.nytimes.com/2020/01/03/business/work-friend-office-cupcakes.html
2020-01-03,0,opinion,Bolsonaro Doesn’t Deserve the Nickname ‘Trump of the Tropics.’ (Not Even That!),in the current political climate humor of course is not the only thing affected by the government,https://www.nytimes.com/2020/01/03/opinion/bolsonaro-duvivier-brazil.html
2020-01-03,0,opinion,How ‘The Irishman’ Maligns My Stepfather,for half his life he has watched himself portrayed as someone he is not,https://www.nytimes.com/2020/01/03/opinion/the-irishman-movie-chuckie-obrien.html
2020-01-03,0,opinion,Trump’s Ground Game Against Iran,the assassination of qassim suleimani is a seismic event in the middle east,https://www.nytimes.com/2020/01/03/opinion/trump-iran-suleimani-assassination-baghdad.html
2020-01-03,0,opinion,The Case for a One-Term Joe,the quickest way to get a president stacey abrams or president pete buttigieg is to first elect a president biden,https://www.nytimes.com/2020/01/03/opinion/joe-biden-age.html
