date,url,headline,articles,doc_type,material_type,section,keywords,label
2020-01-01,https://www.nytimes.com/2020/01/01/world/middleeast/iraq-embassy-iran.html,How the U.S. Embassy in Iraq Became a Target,"After months of turmoil in Iraq, U.S. airstrikes against a pro-Iranian militia drew a backlash.",article,News,,"['Politics and Government', 'United States International Relations', 'United States Defense and Military Forces', 'Defense and Military Forces', 'Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates', 'Corruption (Institutional)']",world
2020-01-01,https://www.nytimes.com/2020/01/01/business/future-electric-cars-2020.html,10 Electric Vehicles to Watch,"Sales doubled in 2019, but the industry’s tipping point — severing ties to the gas pump — still lies ahead. These cars will help make that happen.",article,News,,"['Electric and Hybrid Vehicles', 'Automobile Service and Charging Stations', 'Batteries']",business
2020-01-01,https://www.nytimes.com/2020/01/01/world/australia/fires.html,Why the Fires in Australia Are So Bad,"Bush fire season is nothing new to Australians, but this summer has been calamitous — and it’s far from over.",article,News,,"['Fires and Firefighters', 'Wildfires', 'Global Warming']",world
2020-01-01,https://www.nytimes.com/2020/01/01/world/middleeast/us-embassy-baghdad-iraq.html,Pro-Iranian Protesters End Siege of U.S. Embassy in Baghdad,"Iran’s ability to deploy militias to attack the American Embassy, with Iraqi support, made clear how much power it wields in Iraq.",article,News,,"['Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates', 'United States Defense and Military Forces', 'United States International Relations']",world
2020-01-01,https://www.nytimes.com/2020/01/01/magazine/judge-john-hodgman-on-uncle-money-bags.html,Judge John Hodgman on Uncle Money Bags,"If you brother-in-law wants to slip your son some moola, just make sure it ends up in the right place.",article,News,,['Comedy and Humor'],magazine
2020-01-01,https://www.nytimes.com/2020/01/01/magazine/cardiac-tumor-papillary-fibroelastoma-diagnosis.html,"She Felt Fine, but Her M.R.I. Showed Several Strokes. What Was Wrong?","After the 67-year-old woman fell at the airport, the left side of her body wouldn’t cooperate. The answer to her malady was found in her heart.",article,News,,"['Stroke', 'Brain', 'Heart', 'Medicine and Health']",magazine
2020-01-01,https://www.nytimes.com/2020/01/01/magazine/armenian-flatbreads-jingalov-hats-recipe.html,These Armenian Flatbreads Stuffed With Greens Are the Perfect Snack,"Tangy and juicy, filled with seasoned herbs and hearty leaves, jingalov hats are a joy to eat.",article,News,,"['Cooking and Cookbooks', 'Recipes']",magazine
2020-01-01,https://www.nytimes.com/2020/01/01/books/review-dont-believe-word-david-shariatmadari.html,"‘Don’t Believe a Word,’ a Look at Language and Power (and Why Dolphins Have Accents)","David Shariatmadari’s book delves into issues like grammar snobbery, quirks of human and animal speech, and the transformation of even the simplest words.",article,Review,,"['Books and Literature', 'Language and Languages']",books
2020-01-01,https://www.nytimes.com/2020/01/01/well/eat/eat-better-feel-better-food-advice-from-the-year-in-well.html,"Eat Better, Feel Better? Food Advice From the Year in Well","Intermittent fasting, drinking less alcohol and eating more oysters are some of the steps you can try.",article,News,,"['Weight', 'Fasting', 'Diet and Nutrition']",well
2020-01-01,https://www.nytimes.com/2020/01/01/magazine/prison-parole-california.html,Can You Talk Your Way Out of a Life Sentence?,California is giving a second chance to thousands of inmates who had no hope of parole. But first they have to prove to a panel of strangers that they’ve truly changed.,article,News,,"['Prisons and Prisoners', 'Probation and Parole', 'Gangs', 'Sentences (Criminal)']",magazine
2020-01-01,https://www.nytimes.com/2020/01/01/magazine/poem-the-far-norway-maples.html,Poem: The Far Norway Maples,"From the poet's 10th book of poems, “Sight Lines,” selected as the National Book Award winner for poetry in 2019. ",article,News,,['Poetry and Poets'],magazine
2020-01-01,https://www.nytimes.com/2020/01/01/well/new-years-resolution-be-more-honest.html,New Year’s Resolution: Be More Honest,Embracing honesty changed my life. Maybe it can change yours.,article,News,,[],well
2020-01-01,https://www.nytimes.com/2020/01/01/well/move/exercise-physical-activity-workout-time.html,No More Excuses Not to Exercise,Many people say they don’t have the time to work out. But most of us spend hours each day viewing screens.,article,News,,"['Exercise', 'New Year', 'Leisure', 'Television', 'Time']",well
2020-01-01,https://www.nytimes.com/2020/01/01/travel/antarctica-cruises.html,New Cruise Ships to Set Sail for Antarctica,Interested in the southernmost continent? Here’s a roundup of some of the new ships and itineraries planned for the bucket-list destination.,article,News,,"['Cruises', 'Travel and Vacations', 'Eco-Tourism', 'Ice']",travel
2020-01-01,https://www.nytimes.com/2020/01/01/technology/personaltech/tech-trends-2020.html,The Tech That Will Invade Our Lives in 2020,"From smart homes to ultrafast wireless speeds, here’s what to watch.",article,News,,"['5G (Wireless Communications)', 'Computers and the Internet', 'Wearable Computing', 'Mobile Applications', 'Wireless Communications', 'Driverless and Semiautonomous Vehicles', 'Home Automation and Smart Homes', 'Television', 'International Consumer Electronics Show', 'Television Sets and Media Devices', 'Innovation']",technology
2020-01-01,https://www.nytimes.com/2020/01/01/nyregion/igloos-nyc-bars-hotels.html,Inside the Fake Igloo Rooftop Wars,"Ahh, winter in New York City.",article,News,,"['Bars and Nightclubs', 'Roofs']",nyregion
2020-01-01,https://www.nytimes.com/2020/01/01/movies/adam-driver-marriage-story.html,Adam Driver Has Put Everything He’s Got Onscreen,"Just don’t ask him to explain. A likely best actor nominee for “Marriage Story,” he acknowledges that desire for validation, but it’s tricky: “It’s not separate from who I am.”",article,News,,"['Movies', 'ACTORS AND ACTRESSES', 'Gotham Independent Film Awards', 'Academy Awards (Oscars)']",movies
2020-01-01,https://www.nytimes.com/2020/01/01/arts/dance/costumes-couturiers-de-la-danse.html,Couture Creations for Dancing Bodies,An exhibition at the Centre National du Costume de Scène in France considers the dialogue between the stage and the runway.,article,News,,"['Dancing', 'Fashion and Apparel', 'Costumes']",arts
2020-01-01,https://www.nytimes.com/2020/01/01/us/100-years-ago-the-booziest-january-suddenly-dried-up.html,"100 Years Ago, the Booziest January Suddenly Dried Up","In 1920, Prohibition went into effect, but America partied on.",article,News,,"['Prohibition Era (1920-1933)', 'ALCOHOLIC BEVERAGES', 'Nineteen Hundred Twenties', 'Cocktails and Mixed Drinks']",us
2020-01-01,https://www.nytimes.com/2020/01/01/us/politics/elizabeth-warren-medicare-for-all.html,Elizabeth Warren Isn’t Talking Much About ‘Medicare for All’ Anymore,"There are signs her campaign is seeking to calm fears about her health care proposal, including having small meetings with rural Iowa voters to explain her financing and transition plans.",article,News,,"['Presidential Election of 2020', 'Health Insurance and Managed Care', 'Primaries and Caucuses']",politics
2020-01-01,https://www.nytimes.com/slideshow/2020/01/01/realestate/living-in-bedminster-nj.html,"Living In ... Bedminster, N.J.","For full-time residents who value their privacy, the president’s helicopters can be annoying. But the intrusion is usually short-lived.",multimedia,Slideshow,,['Real Estate and Housing (Residential)'],realestate
2020-01-01,https://www.nytimes.com/2020/01/01/us/university-of-wisconsin-race-video.html,"In a Homecoming Video Meant to Unite Campus, Almost Everyone Was White","The video was created to show off the University of Wisconsin. Instead, it set off a furor, and a reckoning over what it means to be a black student on campus.",article,News,,"['Colleges and Universities', 'Race and Ethnicity', 'Whites', 'Discrimination', 'Black People', 'Blacks', 'Video Recordings, Downloads and Streaming']",us
2020-01-01,https://www.nytimes.com/2020/01/01/realestate/bedminster-nj-horses-golf-and-presidential-visits.html,"Bedminster, N.J.: Horses, Golf and Presidential Visits","Residents of the Somerset County township, who span the economic spectrum, often find the helicopters annoying. But the intrusion is usually short-lived.",article,News,,['Real Estate and Housing (Residential)'],realestate
2020-01-01,https://www.nytimes.com/2020/01/01/business/economy/china-economy-reserve-requirement-ratio.html,China Moves to Steady Its Slowing Economic Growth,The country’s central bank will in effect inject $115 billion into the financial system despite signs the economy has been improving.,article,News,,"['Economic Conditions and Trends', 'Politics and Government', 'International Trade and World Market', 'Production']",business
2020-01-01,https://www.nytimes.com/2020/01/01/us/politics/pete-buttigieg-fundraising.html,Pete Buttigieg’s Campaign Says It Raised $24.7 Million in the Fourth Quarter,"Mr. Buttigieg, who appears in strong position in Iowa with a month until the caucuses, continues to show fund-raising strength.",article,News,,"['Campaign Finance', 'Presidential Election of 2020', 'United States Politics and Government']",politics
2020-01-01,https://www.nytimes.com/2020/01/01/business/rifle-paper-co.html,"The Work Diary of Anna Bond, Whose Work Includes … Making Diaries","In an iCal era, the co-founder of Rifle Paper Co., seller of stationery and home goods, still relies on physical planners (and the drive-through).",article,News,,"['Design', 'Workplace Environment']",business
2020-01-01,https://www.nytimes.com/2020/01/01/world/canada/pokemon-go-canada-military.html,Pika-Who? How Pokémon Go Confused the Canadian Military,"“We should almost hire a 12-year-old to help us out with this,” an official wrote.",article,News,,"['Defense and Military Forces', 'Military Bases and Installations', 'Pokemon (Fictional Characters)', 'Mobile Applications', 'Augmented Reality (Computers)']",world
2020-01-01,https://www.nytimes.com/2020/01/01/world/asia/north-korea-kim-trump.html,What Kim Jong-un’s Latest Threats Say About His Trump Strategy,"With an election and impeachment trial pending in the United States, North Korea’s leader added elements of caution in his threat of “shocking” action.",article,News,,"['United States International Relations', 'Nuclear Tests', 'Embargoes and Sanctions', 'Politics and Government', 'Nuclear Weapons']",world
2020-01-01,https://www.nytimes.com/2020/01/01/world/americas/mexico-prison-fight.html,Mexico Prison Fight Leaves at Least 16 Inmates Dead,Officials said several guns were found in the penitentiary.,article,News,,"['Prisons and Prisoners', 'Deaths (Fatalities)', 'Drug Cartels', 'Demonstrations, Protests and Riots']",world
2020-01-01,https://www.nytimes.com/slideshow/2020/01/01/realestate/what-you-get-for-750000.html,"What You Get for $750,000","A brand-new cottage in Oxford, Miss.; 1967 modern-style home in Kansas City, Mo.; and a three-bedroom house with red-rock views in Sedona, Ariz.",multimedia,Slideshow,,['Real Estate and Housing (Residential)'],realestate
2020-01-01,https://www.nytimes.com/2020/01/01/realestate/750000-homes-in-mississippi-missouri-and-arizona.html,"$750,000 Homes in Mississippi, Missouri and Arizona","A brand-new cottage in Oxford, a 1967 modern-style home in Kansas City and a three-bedroom house with red-rock views in Sedona.",article,News,,['Real Estate and Housing (Residential)'],realestate
2020-01-01,https://www.nytimes.com/2020/01/01/world/middleeast/israel-netanyahu-immunity.html,Netanyahu Seeks Immunity From Israeli Corruption Charges,"His request to Parliament is a rare move, and a potentially unpopular one, heading into a general election. But it could keep the Israeli leader out of court.",article,News,,"['Corruption (Institutional)', 'Immunity from Prosecution', 'Politics and Government', 'Elections']",world
2020-01-01,https://www.nytimes.com/slideshow/2020/01/01/realestate/restored-19th-century-elegance-in-northwestern-spain.html,Restored 19th-Century Elegance in Northwestern Spain,This estate in the Galicia region of Spain is on the market for $1.7 million.,multimedia,Slideshow,,['Real Estate and Housing (Residential)'],realestate
2020-01-01,https://www.nytimes.com/2020/01/01/realestate/house-hunting-in-spain-a-historic-estate-for-under-2-million.html,House Hunting in Spain: A Historic Estate For Under $2 Million,"In Galicia, where the climate and the housing market are cooler, prices remain attractive to native and foreign buyers alike.",article,News,,['Real Estate and Housing (Residential)'],realestate
2020-01-01,https://www.nytimes.com/2020/01/01/world/europe/pope-francis-slap-video.html,Pope Francis Apologizes After Slapping Away a Clinging Pilgrim,"As the pontiff greeted members of the public on New Year’s Eve, one woman grabbed his hand with both of hers. A video of the incident was shared widely online.",article,News,,[],world
2020-01-01,https://www.nytimes.com/2020/01/01/sports/basketball/fearless-predictions-for-the-nba-in-2020.html,Fearless Predictions for the N.B.A. in 2020,Breaking out the crystal roundball for some (almost) fearless predictions for the N.B.A. in 2020.,article,News,,['Basketball'],sports
2020-01-01,https://www.nytimes.com/2020/01/01/movies/tracy-letts-ford-v-ferrari.html,One Startling Scene: Tracy Letts in ‘Ford v Ferrari’,"The actor explains his thought process behind a high-speed drive that leaves his character, Henry Ford II, reeling — and then some.",article,News,,"['Movies', 'Academy Awards (Oscars)', 'ACTORS AND ACTRESSES']",movies
2020-01-01,https://www.nytimes.com/2020/01/01/theater/simon-stone-medea-bam.html,Simon Stone Faced the Unthinkable. He Thinks You Should Too.,"After a family tragedy, the Australian director found a home in the theater, creating harrowing updates of classics. His latest: “Medea” at the Brooklyn Academy of Music.",article,News,,['Theater'],theater
2020-01-01,https://www.nytimes.com/2020/01/01/movies/us-jordan-peele-shirts.html,Reading ‘Us’ Through Its T-shirts,"With its star, Lupita Nyong’o, in awards contention this season, a look at the clothes that helped tell the story.",article,News,,"['Movies', 'Academy Awards (Oscars)', 'Costumes']",movies
2020-01-01,https://www.nytimes.com/2020/01/01/dining/new-year-new-recipes.html,"New Year, New Recipes","Indian butter chickpeas, mushroom Bourguignon, and more: Melissa Clark has seven new recipes to help you eat less meat in 2020.",article,News,,['Cooking and Cookbooks'],dining
2020-01-01,https://www.nytimes.com/2020/01/01/us/stories-about-equality-that-gave-us-hope-in-2019.html,Stories About Equality that Gave Us Hope in 2019,"At a time when hate crimes, inequality and white supremacy appear to be on the rise, these stories offered a little hope.",article,News,,"['Race and Ethnicity', 'Asian-Americans', 'Religion and Belief', 'Native Americans', 'Theater']",us
2020-01-01,https://www.nytimes.com/2020/01/01/movies/a-quiet-place-part-ii-trailer.html,‘A Quiet Place Part II’ First Trailer: Why Is It So Noisy?,"Emily Blunt is back in a sequel to the 2018 horror hit directed by her husband, John Krasinski. Cilian Murphy and Djimon Hounsou are now part of the cast.",article,News,,['Movies'],movies
2020-01-01,https://www.nytimes.com/2020/01/01/opinion/north-korea-nuclear-test.html,North Korea Is Not Done Trolling Trump,Kim Jong-un just restarted his dance of death with America.,article,Op-Ed,,"['United States International Relations', 'Defense and Military Forces', 'Embargoes and Sanctions', 'Nuclear Weapons', 'Missiles and Missile Defense Systems', 'ARMS CONTROL AND LIMITATION AND DISARMAMENT', 'Human Rights and Human Rights Violations']",opinion
2020-01-01,https://www.nytimes.com/2020/01/01/world/europe/zoo-fire-krefeld-germany.html,"Flying Lanterns Probably Caused Zoo Fire in Germany, Police Say","The blaze burned down a primate enclosure, killing at least 30 animals. Three women told the police that they were sorry for using flying lanterns on New Year’s Eve.",article,News,,"['Fires and Firefighters', 'Zoos', 'Monkeys and Apes', 'Accidents and Safety']",world
2020-01-01,https://www.nytimes.com/2020/01/01/opinion/letters/women-athletes.html,"Coaching Female Athletes, and Gender Inequality","Promoting women in these roles does not mean that we should denigrate the men in them, a reader says.",article,Letter,,"['Athletics and Sports', 'Women and Girls', 'Coaches and Managers', 'Title IX (Gender Discrimination Legislation)']",opinion
2020-01-01,https://www.nytimes.com/2020/01/01/style/self-care/how-to-stop-blushing.html,There Will Be Blood. And It Will Be in Your Face.,Some help — and commiseration — for all the heavy blushers out there.,article,News,,"['Anxiety and Stress', 'Shyness', 'Mental Health and Disorders', 'Women and Girls', 'your-feed-selfcare', 'your-feed-work']",style
2020-01-01,https://www.nytimes.com/2020/01/01/opinion/letters/canners-recyclables.html,Can Collectors: Nuisance or Public Service?,Readers offer different views of those who earn money by rummaging through trash bags to collect recyclables.,article,Letter,,['Recycling of Waste Materials'],opinion
2020-01-01,https://www.nytimes.com/2020/01/01/movies/2020-golden-globes-predictions.html,2020 Golden Globes Predictions: Which Movies Will Win?,"Split categories allow voters to spread the wealth, but who prevails when Quentin Tarantino, Martin Scorsese, and Bong Joon Ho compete?",article,News,,"['Movies', 'Golden Globes (Awards)']",movies
2020-01-01,https://www.nytimes.com/2020/01/01/parenting/money-rage-and-love.html,"Money, Rage and Love",How America parented in 2019.,article,News,,[],parenting
2020-01-01,https://www.nytimes.com/2020/01/01/opinion/letters/united-states-elections.html,Rethinking How We Choose Candidates,"Readers offer their suggestions for how to revamp the primary process, in response to a column by David Leonhardt.",article,Letter,,"['Primaries and Caucuses', 'Voting and Voters', 'United States Politics and Government']",opinion
2020-01-01,https://www.nytimes.com/2020/01/01/business/zero-waste-restaurants.html,A Restaurant With No Leftovers,A Brooklyn wine bar and restaurant is one of a handful of establishments in different cities that are trying to eliminate waste from their premises.,article,News,,"['Waste Materials and Disposal', 'Recycling of Waste Materials', 'Restaurants', 'Food', 'Sustainable Living']",business
2020-01-01,https://www.nytimes.com/2020/01/01/health/breast-cancer-mammogram-artificial-intelligence.html,A.I. Is Learning to Read Mammograms,Computers that are trained to recognize patterns and interpret images may outperform humans at finding cancer on X-rays.,article,News,,"['Breast Cancer', 'Mammography', 'Artificial Intelligence', 'Cancer', 'your-feed-healthcare']",health
2020-01-01,https://www.nytimes.com/2020/01/01/health/tuberculosis-vaccine.html,New Injection Method Makes an Old TB Vaccine Far More Powerful,Giving the vaccine intravenously to monkeys provided 90% protection against tuberculosis. More testing is needed before humans can be inoculated that way.,article,News,,"['Tuberculosis', 'Vaccination and Immunization', 'Monkeys and Apes', 'Lungs', 'Third World and Developing Countries', 'your-feed-healthcare', 'Children and Childhood']",health
2020-01-01,https://www.nytimes.com/2020/01/01/nyregion/nyc-biking-deaths.html,More People Are Dying on New York City’s Streets. What Went Wrong?,More cyclists were killed last year than in any year in two decades. Safety groups are calling on Mayor Bill de Blasio to  strengthen his efforts.,article,News,,"['Traffic Accidents and Safety', 'Bicycles and Bicycling', 'Drunken and Reckless Driving', 'Deaths (Fatalities)', 'Accidents and Safety', 'Roads and Traffic']",nyregion
2020-01-01,https://www.nytimes.com/2020/01/01/us/politics/trump-iran-north-korea.html,Trump Bet He Could Isolate Iran and Charm North Korea. It’s Not That Easy.,"The president assumed economic levers would guide the countries’ national interests. Now, he confronts twin challenges in an election year.",article,News Analysis,,"['United States International Relations', 'ARMS CONTROL AND LIMITATION AND DISARMAMENT', 'Diplomatic Service, Embassies and Consulates', 'Nuclear Weapons']",politics
2020-01-01,https://www.nytimes.com/2020/01/01/arts/music/review-anna-netrebko-met-opera.html,Review: Anna Netrebko Rings in the Year With a Met Gala,"The company’s prima donna showed off her past, present and future artistry in acts from three Puccini operas.",article,Review,,['Opera'],arts
2020-01-01,https://www.nytimes.com/2020/01/01/arts/woody-vasulka-dead.html,"Woody Vasulka, Whose Video Art Extended Boundaries, Dies at 82","He deftly manipulated electronic images to produce otherworldly, sometimes jarring visions. He also founded, with his wife, a landmark performance space.",article,Obituary (Obit),,"['Deaths (Obituaries)', 'Art', 'Video Recordings, Downloads and Streaming']",arts
2020-01-01,https://www.nytimes.com/2020/01/01/world/asia/fazle-hasan-abed-dead.html,"Fazle Abed, Founder of a Leading Relief Agency, Dies at 83","Mr. Abed gave up a job as a senior executive at a multinational company to start BRAC after he saw his native land, Bangladesh, devastated by war.",article,Obituary (Obit),,"['Humanitarian Aid', 'Deaths (Obituaries)', 'Refugees and Displaced Persons']",world
2020-01-01,https://www.nytimes.com/2020/01/01/world/europe/earthquake-albania-balkans.html,The Lesson of an Albanian Earthquake: The Balkans Aren’t Ready for the Big One,"Successive governments have failed to address the risks posed by aging buildings and shoddy construction, leaving millions vulnerable.",article,News,,"['Earthquakes', 'Accidents and Safety', 'Buildings (Structures)', 'Engineering and Engineers']",world
2020-01-01,https://www.nytimes.com/2020/01/01/books/2020-books.html,20 Books We’re Watching For in 2020,"Political memoirs, debut novels, long-awaited follow-ups: Here’s what we’re looking forward to reading this year.",article,News,,"['Books and Literature', 'Writing and Writers']",books
2020-01-01,https://www.nytimes.com/2020/01/01/opinion/social-media-2020.html,Only You Can Prevent Dystopia,How to survive the internet in 2020. (It’s not going to be easy.),article,Op-Ed,,"['Computers and the Internet', 'Social Media']",opinion
2020-01-01,https://www.nytimes.com/2020/01/01/opinion/fatherhood-sons.html,Every Moment With My Son Is an Act of Creation,Now we have written a book together.,article,Op-Ed,,"['Writing and Writers', 'Children and Childhood', 'Parenting', 'Vietnamese-Americans', 'Creativity', 'Families and Family Life']",opinion
2020-01-01,https://www.nytimes.com/2020/01/01/nyregion/jewish-attacks-monsey-Daf-Yomi.html,"90,000 Jews Gather to Pray and Defy a Wave of Hate",A celebration to mark the end of a cycle of Talmudic study carried extra meaning in the wake of deadly anti-Semitic attacks.,article,News,,"['Jews and Judaism', 'Talmud', 'ANTI-SEMITISM']",nyregion
2020-01-01,https://www.nytimes.com/2020/01/01/opinion/iraq-embassy-iran.html,Shock Waves From American Airstrikes in Iraq May Have Just Begun,Retaliation against an Iran-backed militia set off anti-American protests that could strengthen Iran’s hand.,article,Editorial,,"['Demonstrations, Protests and Riots', 'United States International Relations', 'United States Defense and Military Forces', 'Defense and Military Forces', 'Embargoes and Sanctions']",opinion
2020-01-01,https://www.nytimes.com/2020/01/01/nyregion/antisemitic-attacks-monsey.html,"Victim of Anti-Semitic Rampage Is Unlikely to Awake From Coma, Family Says","“Doctors are not optimistic,” the man’s relatives said several days after the stabbing attack at a Hanukkah celebration left him with likely brain damage.",article,News,,"['Jews and Judaism', 'ANTI-SEMITISM', 'Murders, Attempted Murders and Homicides', 'Hasidism', 'Discrimination', 'Hate Crimes']",nyregion
2020-01-01,https://www.nytimes.com/2020/01/01/briefing/north-korea-iraq-embassy-australia-fires.html,"North Korea, Iraq, Australia fires: Your Thursday Briefing",Here’s what you need to know.,article,briefing,,[],briefing
2020-01-01,https://www.nytimes.com/2020/01/01/climate/nyt-climate-newsletter-resolutions-fireworks.html,One Thing You Can Do: Make Your New Year’s Resolutions Count,"Also this week, holiday fireworks in Iceland and beyond",article,News,,['Global Warming'],climate
2020-01-01,https://www.nytimes.com/2020/01/01/sports/basketball/david-stern-dead.html,"David Stern, Transformative N.B.A. Commissioner, Dies at 77",His marketing vision turned the world’s premier professional basketball league into a global brand with its biggest stars as its ambassadors.,article,Obituary (Obit),,"['Basketball', 'Deaths (Obituaries)', 'NBA Championship']",sports
2020-01-01,https://www.nytimes.com/2020/01/01/opinion/anti-semitism-new-york.html,It’s an Old and Insidious Hatred. And New Yorkers Can’t Stand for It.,A show of support for the true spirit of New York.,article,Editorial,,"['ANTI-SEMITISM', 'Jews and Judaism', 'Hate Crimes', 'Demonstrations, Protests and Riots']",opinion
2020-01-01,https://www.nytimes.com/2020/01/01/nyregion/ny-legislator-drunk-driving.html,"Don’t Drink and Drive, Republican Leader Said. Then He Was Arrested.",The top Republican in the New York State Assembly said he would resign his leadership position after he admitted to driving while drunk.,article,News,,"['State Legislatures', 'Drunken and Reckless Driving', 'Tests (Sobriety)', 'New Year']",nyregion
2020-01-01,https://www.nytimes.com/2020/01/01/sports/david-stern-death-legacy.html,David Stern Saw Where the Sports World Was Headed Long Before It Got There,"Stern was a visionary who understood that pro athletes were seeking more power in their sports. While other commissioners tried to stop the effort, he used it to his advantage.",article,News,,['Basketball'],sports
2020-01-01,https://www.nytimes.com/2020/01/01/us/politics/pete-buttigieg-mayor-south-bend.html,He’s Not ‘Mayor Pete’ Anymore: Buttigieg’s Successor Is Sworn In,"Pete Buttigieg rose to prominence, and viability as a presidential candidate, as the mayor of South Bend, Ind. Now that tenure has ended.",article,News,,"['Presidential Election of 2020', 'Elections, Mayors', 'United States Politics and Government']",politics
